Cells,Energy,Value,Error
291.97,1.00001e-07,29105.0,0.0064
291.97,4.13994e-07,81661.5,0.0053
291.97,5.31579e-07,22166.8,0.0064
291.97,6.8256e-07,25017.1,0.0062
291.97,8.76425e-07,27578.3,0.006
291.97,1.12535e-06,30018.6,0.0059
291.97,1.44498e-06,32491.2,0.0058
291.97,1.85539e-06,34877.5,0.0057
291.97,2.38237e-06,37221.1,0.0056
291.97,3.05902e-06,39018.1,0.0055
291.97,3.92786e-06,40911.0,0.0055
291.97,5.04348e-06,42501.7,0.0055
291.97,6.47595e-06,43661.7,0.0054
291.97,8.31529e-06,44837.7,0.0054
291.97,1.0677e-05,45818.2,0.0054
291.97,1.37096e-05,46289.2,0.0054
291.97,1.76035e-05,46821.9,0.0054
291.97,2.26033e-05,46822.0,0.0055
291.97,2.90232e-05,46368.8,0.0055
291.97,3.72665e-05,44789.0,0.0055
291.97,4.78512e-05,42349.5,0.0055
291.97,6.14421e-05,50493.5,0.0054
291.97,7.88932e-05,50379.1,0.0054
291.97,0.000101301,49805.5,0.0055
291.97,0.000130073,48821.0,0.0055
291.97,0.000167017,49344.5,0.0055
291.97,0.000214454,51622.5,0.0055
291.97,0.000275364,54864.0,0.0054
291.97,0.000353575,37354.7,0.0055
291.97,0.000453999,41429.7,0.0056
291.97,0.000582947,46886.2,0.0057
291.97,0.000748518,53481.3,0.0056
291.97,0.000961117,55755.2,0.0056
291.97,0.0012341,51289.0,0.0056
291.97,0.00158461,61814.0,0.0055
291.97,0.00203468,66069.9,0.0054
291.97,0.00224867,13460.2,0.0062
291.97,0.00248517,16107.4,0.0061
291.97,0.00261259,6111.31,0.0071
291.97,0.00274654,8161.46,0.007
291.97,0.00303539,22150.1,0.0062
291.97,0.00335463,23974.2,0.0061
291.97,0.00370744,24001.6,0.0061
291.97,0.00430742,29674.2,0.0059
291.97,0.00553084,50172.3,0.0056
291.97,0.00710174,51673.1,0.0056
291.97,0.00911882,37996.4,0.0058
291.97,0.0105946,31857.0,0.0061
291.97,0.0117088,23144.9,0.0063
291.97,0.0150344,53199.1,0.0057
291.97,0.0193045,46030.5,0.0059
291.97,0.0218749,31530.1,0.0064
291.97,0.0235786,24952.8,0.0066
291.97,0.0241755,9493.81,0.0083
291.97,0.0247875,12547.3,0.0079
