Cells,Value,Error
47,0.2092,0.0004
45,0.112978,0.0004
43,0.064571,0.0005
41,0.0252874,0.0005
39,0.00795346,0.0007
37,0.0022757,0.0009
35,0.000702737,0.0012
33,0.000235557,0.0014
26,1.92179e-06,0.003
30,4.12548e-05,0.002
29,1.91282e-05,0.0023
28,8.88331e-06,0.0025
27,4.12595e-06,0.0028
21,3.68464e-07,0.0036
55,0.327467,0.0002
57,0.181802,0.0002
59,0.104068,0.0002
61,0.040042,0.0002
63,0.0122147,0.0003
65,0.00338495,0.0004
67,0.00101827,0.0006
69,0.000333469,0.0007
72,5.966e-05,0.001
73,3.28088e-05,0.0011
74,1.80231e-05,0.0012
75,9.90701e-06,0.0014
76,5.4485e-06,0.0015
77,2.99922e-06,0.0017
78,1.65011e-06,0.0019
79,9.08087e-07,0.0021
80,5.00136e-07,0.0024
81,2.75087e-07,0.0026
86,5.37545e-08,0.0034
