Cells,Value,Error
291.97,2986360.0,0.0045
296.44,3733480.0,0.0043
300.91,5388450.0,0.0041
305.38,8292870.0,0.0039
309.85,13070000.0,0.0037
314.32,20735400.0,0.0035
318.79,32742500.0,0.0034
323.26,51489400.0,0.0033
327.73,80204000.0,0.0032
332.2,123697000.0,0.0031
336.67,188756000.0,0.003
341.14,284207000.0,0.0029
345.61,422808000.0,0.0028
350.08,619856000.0,0.0028
354.55,891208000.0,0.0027
359.02,1252370000.0,0.0027
363.49,1711730000.0,0.0026
367.96,2258470000.0,0.0025
372.43,2850190000.0,0.0025
376.9,3375190000.0,0.0024
377.0,3570250000.0,0.0025
395.5,3696490000.0,0.0024
400.5,5793350000.0,0.0022
406.6,11559100000.0,0.0019
412.7,25659200000.0,0.0016
418.8,66353600000.0,0.0013
424.9,183947000000.0,0.0012
431.0,464371000000.0,0.0011
436.0,836312000000.0,0.001
447.9,1561680000000.0,0.0009
451.0,3068550000000.0,0.0008
455.2,4050060000000.0,0.0007
458.2,7280300000000.0,0.0007
465.2,11105800000000.0,0.0006
468.2,21903600000000.0,0.0005
473.7,29550900000000.0,0.0005
476.7,51169600000000.0,0.0004
481.7,66049500000000.0,0.0004
484.7,107071000000000.0,0.0004
487.0,124757000000000.0,0.0003
489.0,167917000000000.0,0.0003
490.0,192053000000000.0,0.0003
493.6,264156000000000.0,0.0003
493.7,294862000000000.0,0.0003
494.2,307534000000000.0,0.0003
495.0,350123000000000.0,0.0003
1132.1,434804000000000.0,0.0002
1132.6,392603000000000.0,0.0002
1132.7,377924000000000.0,0.0002
1136.3,346347000000000.0,0.0001
1137.3,266150000000000.0,0.0001
1139.3,236860000000000.0,0.0001
1141.6,181969000000000.0,0.0002
1144.6,157953000000000.0,0.0002
1149.6,99008000000000.0,0.0002
1152.6,76792600000000.0,0.0002
1158.1,44251000000000.0,0.0002
1161.1,32632300000000.0,0.0002
1168.1,16418200000000.0,0.0003
1171.1,10676700000000.0,0.0003
1175.3,5892330000000.0,0.0003
1178.4,4424850000000.0,0.0004
1185.3,2210820000000.0,0.0004
1227.8,1154980000000.0,0.0005
1232.49,692973000000.0,0.0005
1237.18,348506000000.0,0.0006
1241.87,157585000000.0,0.0006
1246.56,71487800000.0,0.0007
1251.25,33815900000.0,0.0008
1255.94,16729100000.0,0.001
1260.63,8557730000.0,0.0011
1265.32,4516210000.0,0.0013
1270.01,2484730000.0,0.0015
1274.7,1481550000.0,0.0017
1279.7,834921000.0,0.002
1284.7,533691000.0,0.0022
1300.1,510830000.0,0.0023
1304.57,483559000.0,0.0022
1309.04,407231000.0,0.0023
1313.51,321301000.0,0.0023
1317.98,242178000.0,0.0024
1322.45,176342000.0,0.0024
1326.92,124648000.0,0.0025
1331.39,86268400.0,0.0026
1335.86,58635400.0,0.0026
1340.33,39184100.0,0.0027
1344.8,25826200.0,0.0028
1349.27,16810000.0,0.0029
1353.74,10818800.0,0.003
1358.21,6891940.0,0.0031
1362.68,4351740.0,0.0033
1367.15,2722240.0,0.0034
1371.62,1685800.0,0.0036
1376.09,1031380.0,0.0038
1380.56,614564.0,0.0039
1385.03,339983.0,0.0041
1389.5,142272.0,0.0043
