Cells,Value,Error
291.97,1.80972e-10,0.0069
296.44,2.30531e-10,0.0065
300.91,3.43093e-10,0.006
305.38,5.47617e-10,0.0056
309.85,8.96636e-10,0.0053
314.32,1.47935e-09,0.005
318.79,2.44512e-09,0.0047
323.26,4.03803e-09,0.0045
327.73,6.63749e-09,0.0043
332.2,1.08836e-08,0.0041
336.67,1.77803e-08,0.0039
341.14,2.89118e-08,0.0038
345.61,4.68922e-08,0.0036
350.08,7.58164e-08,0.0035
354.55,1.2219e-07,0.0034
359.02,1.9573e-07,0.0033
363.49,3.11967e-07,0.0032
367.96,4.95476e-07,0.0031
372.43,7.85362e-07,0.003
376.9,1.24756e-06,0.0029
377.0,1.36709e-05,0.0028
395.5,8.07758e-06,0.0024
400.5,2.55703e-06,0.0031
406.6,1.37756e-05,0.0024
412.7,2.9263e-05,0.0021
418.8,6.67776e-05,0.0018
424.9,0.000160362,0.0015
431.0,0.000418935,0.0013
436.0,0.000275053,0.0016
447.9,0.000426581,0.0013
451.0,0.0288292,0.001
455.2,0.00124941,0.001
458.2,0.0730643,0.0008
465.2,0.00394786,0.0008
468.2,0.255507,0.0006
473.7,0.0133293,0.0006
476.7,0.719201,0.0005
481.7,0.040894,0.0005
484.7,1.8904,0.0004
487.0,0.101974,0.0004
489.0,3.41834,0.0004
490.0,0.177779,0.0004
493.6,5.53933,0.0003
493.7,0.328328,0.0004
494.2,0.353748,0.0004
495.0,4.31413,0.0003
1132.1,6.239,0.0002
1132.6,0.544974,0.0002
1132.7,0.507213,0.0002
1136.3,8.44471,0.0001
1137.3,0.282637,0.0002
1139.3,5.3205,0.0002
1141.6,0.163047,0.0002
1144.6,2.94046,0.0002
1149.6,0.0644101,0.0002
1152.6,1.10102,0.0002
1158.1,0.0204007,0.0003
1161.1,0.383132,0.0003
1168.1,0.00586254,0.0004
1171.1,0.107019,0.0004
1175.3,0.00181112,0.0005
1178.4,0.0414701,0.0005
1185.3,0.000603406,0.0006
1227.8,0.000369795,0.0008
1232.49,0.000628156,0.0006
1237.18,0.000292001,0.0007
1241.87,0.00014419,0.0008
1246.56,7.37307e-05,0.001
1251.25,3.86674e-05,0.0011
1255.94,2.06499e-05,0.0013
1260.63,1.1133e-05,0.0014
1265.32,6.05825e-06,0.0016
1270.01,3.33756e-06,0.0018
1274.7,1.93033e-06,0.002
1279.7,3.96936e-07,0.0027
1284.7,1.15251e-06,0.0022
1300.1,1.96224e-06,0.0025
1304.57,1.81294e-07,0.0026
1309.04,1.1415e-07,0.0027
1313.51,7.16468e-08,0.0028
1317.98,4.47891e-08,0.0029
1322.45,2.79222e-08,0.0031
1326.92,1.73069e-08,0.0032
1331.39,1.0691e-08,0.0033
1335.86,6.5749e-09,0.0035
1340.33,4.02381e-09,0.0036
1344.8,2.45009e-09,0.0038
1349.27,1.48962e-09,0.004
1353.74,9.02285e-10,0.0042
1358.21,5.44064e-10,0.0045
1362.68,3.26145e-10,0.0047
1367.15,1.95222e-10,0.005
1371.62,1.16202e-10,0.0053
1376.09,6.90111e-11,0.0057
1380.56,4.03131e-11,0.0061
1385.03,2.26002e-11,0.0065
1389.5,1.09145e-11,0.0073
