Cells,Value,Error
291.97,1353860.0,0.0042
296.44,1666660.0,0.004
300.91,2350590.0,0.0039
305.38,3538830.0,0.0037
309.85,5447810.0,0.0036
314.32,8426880.0,0.0034
318.79,12987800.0,0.0034
323.26,19856500.0,0.0032
327.73,30092600.0,0.0032
332.2,45081900.0,0.0031
336.67,66681000.0,0.003
341.14,97283100.0,0.0029
345.61,139751000.0,0.0029
350.08,198305000.0,0.0028
354.55,277326000.0,0.0028
359.02,382304000.0,0.0027
363.49,523111000.0,0.0026
367.96,722678000.0,0.0025
372.43,1028740000.0,0.0023
376.9,1470100000.0,0.0021
377.0,1571720000.0,0.0023
395.5,1741000000.0,0.0018
400.5,7036150000.0,0.0016
406.6,21420900000.0,0.0014
412.7,49112100000.0,0.0013
418.8,109317000000.0,0.0012
424.9,224753000000.0,0.0011
431.0,363529000000.0,0.001
436.0,510698000000.0,0.0009
447.9,1713770000000.0,0.0007
451.0,3708090000000.0,0.0007
455.2,5108470000000.0,0.0006
458.2,7700760000000.0,0.0006
465.2,12852700000000.0,0.0005
468.2,25002800000000.0,0.0005
473.7,38006600000000.0,0.0004
476.7,65412400000000.0,0.0004
481.7,98047000000000.0,0.0003
484.7,166780000000000.0,0.0003
487.0,202142000000000.0,0.0003
489.0,260697000000000.0,0.0003
490.0,283517000000000.0,0.0003
493.6,329479000000000.0,0.0003
493.7,333620000000000.0,0.0003
494.2,337191000000000.0,0.0003
495.0,346736000000000.0,0.0003
1132.1,391654000000000.0,0.0002
1132.6,390916000000000.0,0.0002
1132.7,394117000000000.0,0.0002
1136.3,394228000000000.0,0.0002
1137.3,352286000000000.0,0.0001
1139.3,329796000000000.0,0.0002
1141.6,264836000000000.0,0.0001
1144.6,223180000000000.0,0.0002
1149.6,135361000000000.0,0.0001
1152.6,92468500000000.0,0.0002
1158.1,54315700000000.0,0.0002
1161.1,35996000000000.0,0.0002
1168.1,18511500000000.0,0.0002
1171.1,11083300000000.0,0.0003
1175.3,7340080000000.0,0.0003
1178.4,5287550000000.0,0.0004
1185.3,2424770000000.0,0.0004
1227.8,696560000000.0,0.0005
1232.49,514607000000.0,0.0005
1237.18,373913000000.0,0.0005
1241.87,225302000000.0,0.0006
1246.56,123990000000.0,0.0006
1251.25,65937500000.0,0.0007
1255.94,34776900000.0,0.0008
1260.63,18370800000.0,0.0008
1265.32,9778880000.0,0.001
1270.01,5248540000.0,0.0011
1274.7,2771480000.0,0.0012
1279.7,1033310000.0,0.0014
1284.7,258264000.0,0.0017
1300.1,227111000.0,0.0023
1304.57,211767000.0,0.0019
1309.04,148622000.0,0.0021
1313.51,103913000.0,0.0023
1317.98,74588600.0,0.0024
1322.45,53911600.0,0.0025
1326.92,38736500.0,0.0026
1331.39,27541100.0,0.0027
1335.86,19336500.0,0.0027
1340.33,13354300.0,0.0028
1344.8,9074040.0,0.0028
1349.27,6097090.0,0.0029
1353.74,4042460.0,0.003
1358.21,2646690.0,0.0031
1362.68,1714470.0,0.0032
1367.15,1096610.0,0.0034
1371.62,696181.0,0.0035
1376.09,432784.0,0.0037
1380.56,263042.0,0.0038
1385.03,149385.0,0.004
1389.5,69073.9,0.0043
