Value,Error,Radius,Cells
372.611,0.0097,Bare,
2203.48,0.0065,15 mm,Input 3
286.493,0.0037,30 mm,Input 4
331.919,0.0025,50 mm,Input 5
283.667,0.0016,90 mm,Input 6
