Value,Error,Radius,Cells
3543.52,0.0032,Bare,
2446.47,0.0017,15 mm,Input 3
3514.17,0.001,30 mm,Input 4
4437.73,0.0007,50 mm,Input 5
4015.37,0.0004,90 mm,Input 6
