Value,Error,Radius,Cells
38.6469,0.0202,Bare,
340.355,0.0088,15 mm,Input 3
409.388,0.0029,30 mm,Input 4
384.214,0.0022,50 mm,Input 5
117.983,0.0016,90 mm,Input 6
