Value,Error,Radius,Cells
1036.2,0.0044,Bare,
11172.6,0.0016,15 mm,Input 3
17210.8,0.0004,30 mm,Input 4
21473.6,0.0003,50 mm,Input 5
11622.0,0.0002,90 mm,Input 6
