Cells,Segments,Value,Error,Radius
129,1.0,4.27776,0.0025,Bare
Input 3,,2.19173,0.0017,15 mm
Input 4,,2.49021,0.0013,30 mm
Input 5,,2.62657,0.0012,50 mm
Input 6,,2.01971,0.0011,90 mm
