Value,Error,Radius,Cells
4519.51,0.0024,Bare,
3782.34,0.0011,15 mm,Input 3
6488.34,0.0006,30 mm,Input 4
9203.23,0.0003,50 mm,Input 5
8540.64,0.0002,90 mm,Input 6
