Value,Error,Radius,Cells
608.678,0.0059,Bare,
5428.5,0.0026,15 mm,Input 3
6256.21,0.0007,30 mm,Input 4
6926.09,0.0005,50 mm,Input 5
2878.15,0.0004,90 mm,Input 6
