Value,Error,Radius,Cells
1662.05,0.0038,Bare,
1055.16,0.0022,15 mm,Input 3
1427.14,0.0013,30 mm,Input 4
1718.4,0.0009,50 mm,Input 5
1459.99,0.0006,90 mm,Input 6
