Value,Error,Radius,Cells
1831.02,0.0041,Bare,
20283.2,0.0015,15 mm,Input 3
31736.3,0.0004,30 mm,Input 4
39883.1,0.0003,50 mm,Input 5
21907.5,0.0002,90 mm,Input 6
