Value,Error,Radius,Cells
1195.39,0.0052,Bare,
10869.6,0.0023,15 mm,Input 3
13167.4,0.0006,30 mm,Input 4
14892.5,0.0005,50 mm,Input 5
6508.17,0.0004,90 mm,Input 6
