Value,Error,Radius,Cells
97.9768,0.0146,Bare,
52.6724,0.009,15 mm,Input 3
61.4182,0.0061,30 mm,Input 4
65.6403,0.0044,50 mm,Input 5
51.3233,0.0031,90 mm,Input 6
