Energy,Value,Error,Offset
5.0,0.2750042852490049,0.0054,20 cm
6.0,27.061583318838785,0.0064,20 cm
7.0,26.0465280107705,0.0072,20 cm
8.0,24.690673370499404,0.0079,20 cm
9.0,25.004195074338675,0.0084,20 cm
10.0,25.13199544884069,0.0088,20 cm
11.0,26.096792652227617,0.0091,20 cm
12.0,26.83430696974581,0.0094,20 cm
13.0,26.9488634592151,0.0098,20 cm
14.0,28.267404155313855,0.01,20 cm
15.0,30.259792859829687,0.01,20 cm
16.0,34.53875237160244,0.0099,20 cm
17.0,43.06105212341792,0.0092,20 cm
18.0,44.526078122574575,0.0094,20 cm
19.0,46.649891389677,0.0096,20 cm
20.0,53.41224486967163,0.0093,20 cm
21.0,39.61741127345957,0.0113,20 cm
22.0,35.38799326553128,0.0122,20 cm
23.0,36.874128385529495,0.0123,20 cm
24.0,37.17608868423493,0.0125,20 cm
25.0,37.80315043730383,0.0127,20 cm
26.0,39.03396641506292,0.0129,20 cm
27.0,39.355248864690736,0.0131,20 cm
28.0,38.514455140917306,0.0134,20 cm
29.0,38.47561183966562,0.0137,20 cm
30.0,37.80298944013572,0.0141,20 cm
31.0,36.523222661645356,0.0146,20 cm
32.0,33.01237706235882,0.0157,20 cm
33.0,31.520530319931744,0.0162,20 cm
34.0,32.20383836538079,0.0163,20 cm
35.0,34.837385612153334,0.016,20 cm
36.0,39.52024643450658,0.0153,20 cm
37.0,39.8379878204893,0.0153,20 cm
38.0,55.54133331060918,0.0132,20 cm
39.0,150.87879160977036,0.0082,20 cm
40.0,305.10224284792827,0.0059,20 cm
41.0,301.0054109421478,0.006,20 cm
42.0,117.16584528253034,0.0096,20 cm
43.0,15.81190543973851,0.0258,20 cm
44.0,1.0741112431608404,0.1055,20 cm
5.0,0.02502905502530195,0.0176,40 cm
6.0,2.4992052942754857,0.0207,40 cm
7.0,2.4780688637122177,0.0228,40 cm
8.0,2.336341993206374,0.0248,40 cm
9.0,2.2911448876837857,0.0267,40 cm
10.0,2.2797344764338954,0.0283,40 cm
11.0,2.519248211397293,0.0287,40 cm
12.0,2.362035944155844,0.0308,40 cm
13.0,2.5164441065827945,0.0312,40 cm
14.0,2.6092739334291544,0.0322,40 cm
15.0,2.830060494538603,0.0323,40 cm
16.0,3.174910059733534,0.0318,40 cm
17.0,3.8955954350543514,0.0302,40 cm
18.0,4.063811159113312,0.0307,40 cm
19.0,4.557252882819423,0.0298,40 cm
20.0,5.071247676833457,0.0298,40 cm
21.0,3.70736608657133,0.0364,40 cm
22.0,3.2487521325474704,0.0399,40 cm
23.0,3.640665535863012,0.0388,40 cm
24.0,3.1794695945421676,0.0421,40 cm
25.0,3.42131739620661,0.0416,40 cm
26.0,3.434690222830118,0.0427,40 cm
27.0,3.5302024948101445,0.0429,40 cm
28.0,3.513067808288743,0.0445,40 cm
29.0,3.5715100108531224,0.0442,40 cm
30.0,3.1578790559251937,0.0477,40 cm
31.0,3.099284816163887,0.0497,40 cm
32.0,2.6303598079058457,0.0544,40 cm
33.0,2.6755886282124095,0.0546,40 cm
34.0,2.8298597890073225,0.0538,40 cm
35.0,3.291797451340144,0.0512,40 cm
36.0,3.7669753811872635,0.0486,40 cm
37.0,3.989236941849257,0.048,40 cm
38.0,5.958996836590018,0.0402,40 cm
39.0,12.610851435639693,0.0275,40 cm
40.0,18.1024360515094,0.0236,40 cm
41.0,13.089137442104036,0.0277,40 cm
42.0,3.4572433521583523,0.0554,40 cm
43.0,0.21356369618531412,0.22,40 cm
44.0,0.05152435072464509,0.467,40 cm
