Value,Error,Energy,Offset
33.01376853929328,0.015460652074840054,5 - 10,20 cm
125.67087076364363,0.02025253076783962,10 - 20,20 cm
165.79699533245073,0.024391296318899854,20 - 30,20 cm
196.94609709515044,0.02713374671401771,30 - 40,20 cm
139.09009077721254,0.027941108080036116,40 - 50,20 cm
83.25448074039102,0.026594165284185522,50 - 60,20 cm
223.35439145057984,0.01654880445326694,60 - 70,20 cm
3.3072152220742197,0.04725470677359972,5 - 10,40 cm
13.324421610728603,0.06063171745002519,10 - 20,40 cm
15.786027479843705,0.0772136124973847,20 - 30,40 cm
17.327394170411992,0.08994543477850336,30 - 40,40 cm
11.152139366263103,0.09727573510197451,40 - 50,40 cm
6.715796131692577,0.09286591988190836,50 - 60,40 cm
11.647680574183017,0.07187292459105449,60 - 70,40 cm
