Energy,Value,Error,Offset
6.0,0.015389434915651515,0.0017,on-axis
7.0,1.9159824681342306,0.0018,on-axis
8.0,1.7880140041028323,0.0018,on-axis
9.0,1.7608817674309916,0.0019,on-axis
10.0,1.7708721225885584,0.002,on-axis
11.0,1.849267311863806,0.0021,on-axis
12.0,1.8584236406150936,0.0021,on-axis
13.0,1.9077440586194194,0.0022,on-axis
14.0,2.005776108563171,0.0022,on-axis
15.0,2.1282778471942714,0.0021,on-axis
16.0,2.3807177061352536,0.0022,on-axis
17.0,2.8474734328685285,0.0022,on-axis
18.0,2.985492223031803,0.0022,on-axis
19.0,3.146693985798249,0.0023,on-axis
20.0,3.4462594401599653,0.0023,on-axis
21.0,2.752235051591202,0.0026,on-axis
22.0,2.6280945595447767,0.0027,on-axis
23.0,2.706709319079834,0.0027,on-axis
24.0,2.8195509202499727,0.0028,on-axis
25.0,2.9186471998785413,0.0028,on-axis
26.0,3.0104756009547886,0.0028,on-axis
27.0,3.10988288319443,0.0028,on-axis
28.0,3.2293265807427476,0.0028,on-axis
29.0,3.34330542797995,0.0028,on-axis
30.0,3.46146398025132,0.0029,on-axis
31.0,3.5535721137931837,0.0029,on-axis
32.0,3.6896000849963864,0.003,on-axis
33.0,3.7948555605865004,0.003,on-axis
34.0,3.8893961519943865,0.003,on-axis
35.0,4.023039298230527,0.003,on-axis
36.0,4.137606370500922,0.0031,on-axis
37.0,4.25577976749884,0.0031,on-axis
38.0,4.347979814449912,0.0031,on-axis
39.0,4.427520555902392,0.0032,on-axis
40.0,4.5325013947181585,0.0033,on-axis
41.0,4.674515488288549,0.0033,on-axis
42.0,4.822813621487886,0.0033,on-axis
43.0,4.994199567965314,0.0033,on-axis
44.0,5.2110704899980425,0.0034,on-axis
46.0,5.536833316964768,0.0027,on-axis
48.0,5.9544712390082255,0.0028,on-axis
50.0,6.104821749372035,0.003,on-axis
52.0,5.9820941828124505,0.0033,on-axis
54.0,6.073556120237721,0.0036,on-axis
56.0,6.2176422244333915,0.0038,on-axis
58.0,5.966318768459613,0.004,on-axis
60.0,6.548107358733102,0.0038,on-axis
62.0,8.190285182379743,0.0034,on-axis
64.0,36.95584582317108,0.0028,on-axis
66.0,87.4252515645693,0.0021,on-axis
68.0,21.875516903486194,0.0042,on-axis
70.0,0.6181553154498719,0.0259,on-axis
