Energy,Value,Error,Offset
5 - 10,2690.580617266549,0.0007136445865754364,on-axis
10 - 20,9713.820003247645,0.0005938274162044499,on-axis
20 - 30,16530.80449738239,0.0006196222151243939,on-axis
30 - 40,24512.70477763964,0.0006344106268344163,on-axis
40 - 50,78304.2375811543,0.0003864580795857926,on-axis
5 - 10,356.3347613499437,0.0017988295289021307,20 cm
10 - 20,761.8850318404042,0.001944175029488805,20 cm
20 - 30,973.5912379004469,0.002374318805155153,20 cm
30 - 40,1652.5806440256529,0.002347866752576158,20 cm
40 - 50,1596.0529360717906,0.0025534743355755197,20 cm
5 - 10,54.216483378357864,0.0044807919514777,40 cm
10 - 20,101.90388108528822,0.005153169498015718,40 cm
20 - 30,116.69216020157847,0.006739959530475964,40 cm
30 - 40,198.91497003677438,0.00668730240853625,40 cm
40 - 50,64.7050189330179,0.01246716817442193,40 cm
