Energy,Value,Error,Offset
5 - 10,158.44246708103043,0.004043950028197334,20 cm
10 - 20,649.539428933124,0.0028835096171371728,20 cm
20 - 30,847.888626919419,0.003441402121065111,20 cm
30 - 40,1062.843040272988,0.0037185759840642715,20 cm
40 - 50,810.0711630369027,0.004430910095149765,20 cm
50 - 60,473.2339574527242,0.0049944588403403175,20 cm
60 - 70,1163.1178416089078,0.0034938101032711325,20 cm
5 - 10,15.934624417911383,0.012386140308280879,40 cm
10 - 20,66.25967918167558,0.008830801778125152,40 cm
20 - 30,81.77382606223973,0.010868209398318143,40 cm
30 - 40,93.18520086730578,0.012366501651018007,40 cm
40 - 50,65.35571497489336,0.015392533456741976,40 cm
50 - 60,33.652750288206086,0.01830873540313261,40 cm
60 - 70,52.24594547111754,0.016165029634879775,40 cm
