Energy,Value,Error,Offset
6.0,0.006606034882612745,0.0017,on-axis
7.0,0.8910437511785246,0.0018,on-axis
8.0,0.750639965853186,0.0019,on-axis
9.0,0.7360635554760502,0.002,on-axis
10.0,0.7370018978663945,0.002,on-axis
11.0,0.7529290171032038,0.0021,on-axis
12.0,0.691147549672354,0.0022,on-axis
13.0,0.7415116470331887,0.0022,on-axis
14.0,0.7692141390909333,0.0022,on-axis
15.0,0.7805357110000108,0.0022,on-axis
16.0,0.8034225000209135,0.0023,on-axis
17.0,0.8769506251268269,0.0023,on-axis
18.0,0.9219465072554114,0.0023,on-axis
19.0,0.9440803281684839,0.0023,on-axis
20.0,0.9584157264020814,0.0024,on-axis
21.0,0.9762684920384535,0.0025,on-axis
22.0,1.0105091186757986,0.0025,on-axis
23.0,1.045137409927648,0.0025,on-axis
24.0,1.083477861106633,0.0025,on-axis
25.0,1.1396748382031077,0.0025,on-axis
26.0,1.201625269173798,0.0025,on-axis
27.0,1.2681156353954275,0.0025,on-axis
28.0,1.36599994672696,0.0025,on-axis
29.0,1.4638520373776909,0.0025,on-axis
30.0,1.527832722687874,0.0025,on-axis
31.0,1.5776267007984206,0.0027,on-axis
32.0,1.6480171716511434,0.0027,on-axis
33.0,1.7332604841878259,0.0027,on-axis
34.0,1.8164495004436172,0.0026,on-axis
35.0,1.9019725698347834,0.0027,on-axis
36.0,1.9812446756976336,0.0027,on-axis
37.0,2.0617888688878616,0.0027,on-axis
38.0,2.1452628597501167,0.0027,on-axis
39.0,2.2217870766321948,0.0027,on-axis
40.0,2.3222547558810427,0.0027,on-axis
41.0,2.41997884109278,0.0028,on-axis
42.0,2.5120228418807677,0.0028,on-axis
43.0,2.6158435551529817,0.0028,on-axis
44.0,2.729887568177706,0.0028,on-axis
46.0,2.913112833122267,0.0023,on-axis
48.0,3.1403714959638798,0.0024,on-axis
50.0,3.3635054243092295,0.0024,on-axis
52.0,3.535223835887843,0.0026,on-axis
54.0,3.8510264157231546,0.0027,on-axis
56.0,4.548741161861758,0.0026,on-axis
58.0,5.092113974653381,0.0026,on-axis
60.0,4.530087633427272,0.0028,on-axis
62.0,7.570855180892856,0.0026,on-axis
64.0,29.252065416914967,0.0021,on-axis
66.0,41.16352692318583,0.0021,on-axis
68.0,8.38677215205266,0.0045,on-axis
70.0,0.2730104332287174,0.026,on-axis
