Value,Error,Energy,Offset
2090.2026234506575,0.0018659125938039487,5 - 10,on-axis
9879.444715433932,0.0022681318803861733,10 - 20,on-axis
19935.050978126787,0.002244140521917279,20 - 30,on-axis
35785.35675632174,0.0021,30 - 40,on-axis
33284.303258754015,0.001909892901775801,40 - 50,on-axis
26838.122667402662,0.0015754196674491077,50 - 60,on-axis
152815.88371162236,0.0006262649654677924,60 - 70,on-axis
286.70080080869167,0.004966051729850467,5 - 10,20 cm
1005.3130988760611,0.006894271905909112,10 - 20,20 cm
1441.534232112042,0.00797951831619158,20 - 30,20 cm
1956.4306056904168,0.008629826761811494,30 - 40,20 cm
1410.0708247722139,0.008862723445964157,40 - 50,20 cm
886.3406299600094,0.008226085887195844,50 - 60,20 cm
1837.2531465262603,0.005736950443461064,60 - 70,20 cm
43.17022094863184,0.012389448165768318,5 - 10,40 cm
145.52552605464166,0.017667432613839552,10 - 20,40 cm
193.17238469398362,0.02152280506183345,20 - 30,40 cm
226.11467171200007,0.024993978260131246,30 - 40,40 cm
144.2599801517418,0.027326261510868862,40 - 50,40 cm
82.62642952949076,0.026444096685988558,50 - 60,40 cm
88.69984384865515,0.02596759525409538,60 - 70,40 cm
