Time,Value,Error
6.2767,0.0,0.0
6.31605,0.0,0.0
6.3554,0.0,0.0
6.39475,0.0,0.0
6.4341,0.0,0.0
6.47345,0.0,0.0
6.5128,0.0,0.0
6.55215,0.0,0.0
6.5915,0.0,0.0
6.63085,0.0,0.0
6.6702,4.6711562897076724e-15,0.1734
6.70955,7.634104193138544e-12,0.0305
6.7489,9.396747141041985e-10,0.0035
6.78825,9.032071156289759e-09,0.0018
6.8276,1.8605489199491427e-08,0.0014
6.86695,1.2402109275730692e-08,0.0024
6.9063,6.721473951715413e-09,0.005
6.94565,4.290800508259237e-09,0.0072
6.985,3.1244980940279015e-09,0.0107
7.02435,2.522063532401539e-09,0.0081
7.0637,2.184973316391372e-09,0.0159
7.10305,1.7906226175349532e-09,0.0106
7.1424,1.4404930114358081e-09,0.0093
7.18175,1.2678703939008967e-09,0.0279
7.2211,1.0913189326556606e-09,0.0205
7.26045,9.261321473951768e-10,0.0142
7.2998,8.192020330368351e-10,0.0137
7.33915,7.395883100381237e-10,0.0158
7.3785,6.609097839898386e-10,0.0202
7.41785,6.633468869123292e-10,0.0272
7.4572,5.354180432020241e-10,0.0214
7.49655,5.497102922490501e-10,0.0508
7.5359,5.102922490470169e-10,0.0301
7.57525,5.271130876747171e-10,0.0408
7.6146,5.143354510800422e-10,0.0463
7.81135,5.412706480304962e-10,0.0261
8.0081,5.694282083862751e-10,0.0335
8.20485,5.660432020330376e-10,0.0288
8.4016,5.594917407878025e-10,0.0253
8.59835,5.055410419313856e-10,0.0245
8.7951,4.308020330368493e-10,0.028
8.99185,4.0205489199491794e-10,0.0234
9.1886,3.717575603557819e-10,0.027
9.38535,3.5270292249046744e-10,0.0264
9.5821,3.392742058449814e-10,0.0235
9.77885,3.2423532401524817e-10,0.0227
9.9756,3.0693722998729393e-10,0.0201
10.1723,3.1382206405693966e-10,0.026
10.3691,3.175990853658542e-10,0.0241
10.5659,3.1621849593495996e-10,0.0212
10.7626,3.1772547025927545e-10,0.0249
10.9593,3.2000203355363515e-10,0.0223
11.1561,3.2422611788617945e-10,0.0279
11.3529,3.2932672764227697e-10,0.0178
11.5496,3.2121098118962907e-10,0.0162
11.7463,3.387158108795122e-10,0.0211
11.9431,3.41613821138212e-10,0.0184
12.1399,3.520254065040625e-10,0.0155
12.3366,3.49732079308592e-10,0.0151
12.5333,3.514499237417389e-10,0.0192
12.7301,3.5976778455284616e-10,0.0167
12.9269,3.646615853658543e-10,0.0173
13.1236,3.8191306558210497e-10,0.0154
13.3204,3.963460365853666e-10,0.0154
13.5171,4.0656380274529764e-10,0.0138
13.7138,4.177885104219589e-10,0.0139
13.9106,4.2660111788617963e-10,0.0158
14.1073,4.412180986273516e-10,0.0191
14.3041,4.3945985772357806e-10,0.0118
14.5009,4.6150406504065125e-10,0.0161
14.6976,4.727910523640064e-10,0.011
14.8944,4.967088414634155e-10,0.0124
15.0911,5.116065073716276e-10,0.014
15.2879,5.208282520325212e-10,0.012
15.4846,5.35988815455008e-10,0.0116
15.6813,5.620437214031523e-10,0.0127
15.8781,5.753506097560986e-10,0.0108
16.0749,6.214126016260174e-10,0.0148
16.2716,6.508540925266907e-10,0.0109
16.4683,6.792323335027966e-10,0.0117
16.6651,6.874745934959361e-10,0.0102
16.8619,6.906300813008143e-10,0.01
17.0586,6.929588205388921e-10,0.0081
17.2553,7.200254194204377e-10,0.0115
17.4521,7.262703252032402e-10,0.0106
17.6489,7.381707317073184e-10,0.0095
17.8456,7.679156075241489e-10,0.0101
18.0423,7.89283172343671e-10,0.0189
18.2391,8.196036585365869e-10,0.0094
18.4359,8.448018292682942e-10,0.0089
18.6326,8.65963396034571e-10,0.0087
18.8293,8.618759532282669e-10,0.0077
19.0261,8.683333333333349e-10,0.0074
19.2229,8.661178861788634e-10,0.0078
19.4196,8.662735129639049e-10,0.0081
19.6163,8.347280122013224e-10,0.0074
19.8131,8.185569105691072e-10,0.0095
20.0099,8.124288617886193e-10,0.0078
20.2066,7.963802745297269e-10,0.0082
20.4033,7.862582613116427e-10,0.0083
20.6001,7.879369918699202e-10,0.0092
20.7969,7.732317073170745e-10,0.0082
20.9936,7.547534316217595e-10,0.0078
21.1903,7.40660904931368e-10,0.0081
21.3871,7.452439024390257e-10,0.0084
21.5839,7.350965447154485e-10,0.0085
21.7806,7.282613116420949e-10,0.0081
21.9773,7.377020843924763e-10,0.0101
22.1741,7.367632113821152e-10,0.007
22.3709,7.638973577235786e-10,0.011
22.5676,7.642653787493649e-10,0.0085
22.7643,7.471479410269451e-10,0.0068
22.9611,7.398170731707331e-10,0.0079
23.1578,7.446975088967842e-10,0.0083
23.3546,7.20467479674798e-10,0.0088
23.5513,6.873919674631422e-10,0.0086
23.7481,6.554217479674809e-10,0.0077
23.9449,6.33028455284554e-10,0.0087
24.1416,6.03945094051856e-10,0.009
24.3383,5.665937976614137e-10,0.01
24.5351,5.399390243902449e-10,0.009
24.7318,5.14565327910524e-10,0.0091
24.9286,4.88192581300814e-10,0.0096
25.1254,4.6200965447154554e-10,0.0094
25.3221,4.3621657346212536e-10,0.012
25.5189,4.127144308943097e-10,0.0114
25.7156,3.8338332486019345e-10,0.0114
25.9124,3.558841463414576e-10,0.012
26.1091,3.3596390442297935e-10,0.0127
26.3058,3.0465937976614155e-10,0.0124
26.5026,2.852754065040656e-10,0.0149
26.6993,2.60262836807321e-10,0.0133
26.8961,2.4041056910569146e-10,0.0149
27.0929,2.2051321138211422e-10,0.0182
27.2896,2.070447381799696e-10,0.0191
27.4863,1.9274072191154054e-10,0.0194
