Time,Value,Error
0s,2.363852362e-09,0.060810032067085774
2.7h,2.18051765e-09,0.060810032067085774
24h,1.176788287e-09,0.060810032067085774
11.6d,7.371599780000001e-13,0.060810032067085774
30d,1.931587263e-18,0.060810032067085774
10y,0.0,0.0
