Time,Value,Error
0s,2.385000727395e-08,0.0002979980444461766
2.7h,2.3793003666359997e-08,0.0002979980432783341
24h,2.336153410895e-08,0.0002979980419608059
11.6d,1.877050729797e-08,0.00029799804541740806
30d,1.2819982176070002e-08,0.00029799804779401685
10y,4.104189576184e-41,0.00029799804224962557
