Time,Value,Error
0s,2.4323164e-14,0.03714224215474217
2.7h,2.4322861e-14,0.03714224215000142
24h,2.4320336e-14,0.03714224211049064
11.6d,2.4290036000000003e-14,0.03714224163572196
30d,2.4237414e-14,0.037142241398635784
10y,1.5837827e-14,0.03714224241552656
