Time,Value,Error
0s,7.35751e-08,0.023
2.7h,7.35562e-08,0.023
24h,7.34119e-08,0.023
11.6d,7.17083e-08,0.023
30d,6.88336e-08,0.023
10y,2.24336e-11,0.023
