User,Time,Value,Error
0.0,0s,0.0,0.0
0.0,2.7h,0.0,0.0
0.0,24h,0.0,0.0
0.0,11.6d,0.0,0.0
0.0,30d,0.0,0.0
0.0,10y,0.0,0.0
-14028.0,0s,11.6205,0.0109
-14028.0,2.7h,4.7571e-22,0.0109
-14028.0,24h,0.0,0.0
-14028.0,11.6d,0.0,0.0
-14028.0,30d,0.0,0.0
-14028.0,10y,0.0,0.0
-14030.0,0s,0.000153279,0.0773
-14030.0,2.7h,7.35055e-05,0.0773
-14030.0,24h,2.67864e-07,0.0773
-14030.0,11.6d,1.85858e-36,0.0773
-14030.0,30d,2.87362e-87,0.0773
-14030.0,10y,0.0,0.0
-15031.0,0s,0.271789,0.0705
-15031.0,2.7h,1.11263e-23,0.0705
-15031.0,24h,0.0,0.0
-15031.0,11.6d,0.0,0.0
-15031.0,30d,0.0,0.0
-15031.0,10y,0.0,0.0
-22046.0,0s,0.00886008,0.0913
-22046.0,2.7h,0.0088516,0.0913
-22046.0,24h,0.00878708,0.0913
-22046.0,11.6d,0.00805108,0.0913
-22046.0,30d,0.00691278,0.0913
-22046.0,10y,7.05624e-16,0.0913
-22047.0,0s,8.4223e-05,0.5049
-22047.0,2.7h,8.31355e-05,0.5096
-22047.0,24h,7.56059e-05,0.5466
-22047.0,11.6d,4.02718e-05,0.9001
-22047.0,30d,3.11915e-05,0.9971
-22047.0,10y,3.17474e-18,1.0
-22048.0,0s,0.0190322,0.0719
-22048.0,2.7h,0.0182113,0.0719
-22048.0,24h,0.0130032,0.0719
-22048.0,11.6d,0.000231571,0.0719
-22048.0,30d,2.07165e-07,0.0719
-22048.0,10y,0.0,0.0
-22049.0,0s,0.0,0.0
-22049.0,2.7h,0.0,0.0
-22049.0,24h,0.0,0.0
-22049.0,11.6d,0.0,0.0
-22049.0,30d,0.0,0.0
-22049.0,10y,0.0,0.0
-24050.0,0s,1.37106,0.0006
-24050.0,2.7h,1.3671,0.0006
-24050.0,24h,1.33718,0.0006
-24050.0,11.6d,1.02633,0.0006
-24050.0,30d,0.647227,0.0006
-24050.0,10y,3.30352e-40,0.0006
-24052.0,0s,29.4597,0.006
-24052.0,2.7h,0.00938588,0.0674
-24052.0,24h,0.0091805,0.0674
-24052.0,11.6d,0.0070463,0.0674
-24052.0,30d,0.00444358,0.0674
-24052.0,10y,2.26805e-42,0.0674
-24053.0,0s,1.23895,0.0307
-24053.0,2.7h,1.32896e-31,0.0307
-24053.0,24h,0.0,0.0
-24053.0,11.6d,0.0,0.0
-24053.0,30d,0.0,0.0
-24053.0,10y,0.0,0.0
-24054.0,0s,0.282394,0.0897
-24054.0,2.7h,9.93261e-62,0.0897
-24054.0,24h,0.0,0.0
-24054.0,11.6d,0.0,0.0
-24054.0,30d,0.0,0.0
-24054.0,10y,0.0,0.0
-25055.0,0s,1547.57,0.0001
-25055.0,2.7h,734.037,0.0001
-25055.0,24h,2.72069,0.0015
-25055.0,11.6d,0.250644,0.0155
-25055.0,30d,0.240596,0.0155
-25055.0,10y,7.84128e-05,0.0155
-26054.0,0s,2.37185,0.0035
-26054.0,2.7h,2.37122,0.0035
-26054.0,24h,2.36645,0.0035
-26054.0,11.6d,2.3103,0.0035
-26054.0,30d,2.21619,0.0035
-26054.0,10y,0.000722842,0.0035
-26056.0,0s,23.3889,0.0027
-26056.0,2.7h,11.0968,0.0027
-26056.0,24h,0.0372661,0.0027
-26056.0,11.6d,1.99722e-06,0.5794
-26056.0,30d,1.97185e-06,0.5794
-26056.0,10y,1.60417e-07,0.5794
-26057.0,0s,0.0058775,0.1876
-26057.0,2.7h,0.00278858,0.1876
-26057.0,24h,9.36428e-06,0.1876
-26057.0,11.6d,2.44453e-35,0.1876
-26057.0,30d,6.88097e-87,0.1876
-26057.0,10y,0.0,0.0
-26058.0,0s,7.86502,0.0007
-26058.0,2.7h,7.85086,0.0007
-26058.0,24h,7.74345,0.0007
-26058.0,11.6d,6.56745,0.0007
-26058.0,30d,4.92876,0.0007
-26058.0,10y,1.69888e-24,0.0007
-27059.0,0s,119.34,0.0003
-27059.0,2.7h,119.334,0.0003
-27059.0,24h,119.294,0.0003
-27059.0,11.6d,118.839,0.0003
-27059.0,30d,118.052,0.0003
-27059.0,10y,32.1123,0.0003
-28058.0,0s,9.77836,0.0019
-28058.0,2.7h,9.76526,0.0019
-28058.0,24h,9.66882,0.0019
-28058.0,11.6d,8.69846,0.0018
-28058.0,30d,7.26771,0.0018
-28058.0,10y,3.05333e-06,0.0205
-28060.0,0s,0.648567,0.0073
-28060.0,2.7h,0.64854,0.0073
-28060.0,24h,0.648333,0.0073
-28060.0,11.6d,0.64587,0.0073
-28060.0,30d,0.641599,0.0073
-28060.0,10y,0.174541,0.0073
-28061.0,0s,0.000147133,0.4764
-28061.0,2.7h,0.000147127,0.4764
-28061.0,24h,0.00014708,0.4764
-28061.0,11.6d,0.000146521,0.4764
-28061.0,30d,0.000145552,0.4764
-28061.0,10y,3.95961e-05,0.4764
-28062.0,0s,0.222022,0.094
-28062.0,2.7h,0.00635132,0.1041
-28062.0,24h,0.00625449,0.1043
-28062.0,11.6d,0.00530462,0.1043
-28062.0,30d,0.00398103,0.1043
-28062.0,10y,1.37221e-27,0.1043
-29063.0,0s,7.01103,0.0012
-29063.0,2.7h,5.94631,0.0009
-29063.0,24h,1.87454,0.001
-29063.0,11.6d,0.0103799,0.0581
-29063.0,30d,0.0103095,0.0581
-29063.0,10y,0.00280459,0.0581
-29065.0,0s,5.36155,0.002
-29065.0,2.7h,0.00499074,0.1086
-29065.0,24h,0.00129768,0.1179
-29065.0,11.6d,1.25103e-09,0.1182
-29065.0,30d,4.12755e-20,0.1182
-29065.0,10y,0.0,0.0
-41093.0,0s,0.0278974,0.0426
-41093.0,2.7h,0.0277595,0.0424
-41093.0,24h,0.0267411,0.0415
-41093.0,11.6d,0.0183275,0.0294
-41093.0,30d,0.0126387,0.0121
-41093.0,10y,0.0103772,0.0003
-42092.0,0s,0.0386502,0.0378
-42092.0,2.7h,0.0382676,0.0378
-42092.0,24h,0.0355004,0.0377
-42092.0,11.6d,0.0157753,0.0387
-42092.0,30d,0.00437397,0.0395
-42092.0,10y,0.0,0.0
-42096.0,0s,0.00535184,0.1131
-42096.0,2.7h,0.00492823,0.1131
-42096.0,24h,0.00262475,0.1131
-42096.0,11.6d,1.40382e-06,0.1131
-42096.0,30d,2.79288e-12,0.1131
-42096.0,10y,0.0,0.0
-42097.0,0s,0.0,0.0
-42097.0,2.7h,0.0,0.0
-42097.0,24h,0.0,0.0
-42097.0,11.6d,0.0,0.0
-42097.0,30d,0.0,0.0
-42097.0,10y,0.0,0.0
-42098.0,0s,15.1649,0.001
-42098.0,2.7h,14.7285,0.001
-42098.0,24h,11.7835,0.001
-42098.0,11.6d,0.817902,0.001
-42098.0,30d,0.00783109,0.001
-42098.0,10y,0.0,0.0
-42100.0,0s,191.933,0.0005
-42100.0,2.7h,0.0963131,0.0117
-42100.0,24h,0.0205303,0.044
-42100.0,11.6d,0.00142503,0.044
-42100.0,30d,1.36441e-05,0.044
-42100.0,10y,0.0,0.0
-73181.0,0s,42.2627,0.0005
-73181.0,2.7h,42.2331,0.0005
-73181.0,24h,42.0081,0.0005
-73181.0,11.6d,39.4078,0.0005
-73181.0,30d,35.2555,0.0005
-73181.0,10y,1.1428e-08,0.0005
