Time,Value,Error
0s,2.3438e-05,0.0438
2.7h,2.34216e-05,0.0438
24h,2.32967e-05,0.0438
11.6d,2.18547e-05,0.0438
30d,1.95519e-05,0.0438
10y,6.33774e-15,0.0438
