Cells,Value,Error
16016.0,5.27719e-06,0.0128
16017.0,5.6892e-06,0.0146
16018.0,4.67064e-06,0.0165
16019.0,2.93743e-06,0.021
16020.0,4.77647e-06,0.0112
16021.0,5.10639e-06,0.0132
16022.0,4.08892e-06,0.0155
16023.0,2.55326e-06,0.0203
16024.0,4.63818e-06,0.011
16025.0,4.97974e-06,0.013
16026.0,3.87774e-06,0.0148
16027.0,2.33216e-06,0.0195
16028.0,4.55575e-06,0.0104
16029.0,4.80878e-06,0.0131
16030.0,3.78525e-06,0.0151
16031.0,2.27191e-06,0.0195
16032.0,4.53419e-06,0.0108
16033.0,4.68106e-06,0.0132
16034.0,3.78087e-06,0.0147
16035.0,2.24799e-06,0.0197
16036.0,4.50927e-06,0.011
16037.0,4.64014e-06,0.0128
16038.0,3.75585e-06,0.0152
16039.0,2.33549e-06,0.0205
16040.0,4.51537e-06,0.0107
16041.0,4.63919e-06,0.0129
16042.0,3.84117e-06,0.0151
16043.0,2.32512e-06,0.0195
16044.0,4.66103e-06,0.0113
16045.0,4.83543e-06,0.0141
16046.0,3.91918e-06,0.0153
16047.0,2.48654e-06,0.0202
16048.0,4.75857e-06,0.012
16049.0,5.00028e-06,0.0138
16050.0,4.19582e-06,0.0161
16051.0,2.59905e-06,0.0211
16052.0,5.06042e-06,0.0131
16053.0,5.48802e-06,0.0138
16054.0,4.53873e-06,0.016
16055.0,2.78555e-06,0.0211
16056.0,5.41416e-06,0.0131
16057.0,6.18541e-06,0.015
16058.0,5.22651e-06,0.0173
16059.0,3.20983e-06,0.0209
16060.0,6.05753e-06,0.0145
16061.0,7.38432e-06,0.0155
16062.0,6.25016e-06,0.0177
16063.0,3.91029e-06,0.0222
