energy low [eV],Energy,Cells,Value,Error
1.0000000000000001e-11,1e-07,Blanket_outboard_m2_1,4.7855157693232206e-08,0.0004334100767616268
1e-07,4.1399e-07,Blanket_outboard_m2_1,9.277681324498479e-08,0.00034974262269384375
4.1399e-07,5.3158e-07,Blanket_outboard_m2_1,2.212340667693483e-08,0.00044073503242060026
5.3158e-07,6.825599999999999e-07,Blanket_outboard_m2_1,2.4028495274614203e-08,0.00047026605501344795
6.825599999999999e-07,8.7643e-07,Blanket_outboard_m2_1,2.5942621609709616e-08,0.00047132463138894977
8.7643e-07,1.1252999999999998e-06,Blanket_outboard_m2_1,2.7805369884750992e-08,0.0005236771916499867
1.1252999999999998e-06,1.445e-06,Blanket_outboard_m2_1,2.966583691363733e-08,0.0004974325461852645
1.445e-06,1.8553999999999998e-06,Blanket_outboard_m2_1,3.1398917071352784e-08,0.00044579919825051266
1.8553999999999998e-06,2.3824e-06,Blanket_outboard_m2_1,3.308912929992333e-08,0.000458979321868653
2.3824e-06,3.059e-06,Blanket_outboard_m2_1,3.4659686825213835e-08,0.00047057130097338844
3.059e-06,3.9279e-06,Blanket_outboard_m2_1,3.599538135173912e-08,0.0004923736415081675
3.9279e-06,5.043499999999999e-06,Blanket_outboard_m2_1,3.74724412295782e-08,0.00046229820393845904
5.043499999999999e-06,6.4759e-06,Blanket_outboard_m2_1,3.915099121952137e-08,0.00047514081443078543
6.4759e-06,8.3153e-06,Blanket_outboard_m2_1,4.034859335847774e-08,0.00039405074778889044
8.3153e-06,1.0677e-05,Blanket_outboard_m2_1,4.164125274246559e-08,0.000430976907200862
1.0677e-05,1.3710000000000001e-05,Blanket_outboard_m2_1,4.249325625925266e-08,0.0003749648994393568
1.3710000000000001e-05,1.7604e-05,Blanket_outboard_m2_1,4.378449451361778e-08,0.0003965117494176826
1.7604e-05,2.2603e-05,Blanket_outboard_m2_1,4.4558756378828925e-08,0.0003861512000231343
2.2603e-05,2.9023e-05,Blanket_outboard_m2_1,4.517290232252829e-08,0.00036709236531938934
2.9023e-05,3.7266e-05,Blanket_outboard_m2_1,4.4989470005998976e-08,0.0004169457965327582
3.7266e-05,4.7851e-05,Blanket_outboard_m2_1,4.2311667812065414e-08,0.00042063679730727305
4.7851e-05,6.1442e-05,Blanket_outboard_m2_1,4.958555835407021e-08,0.00038973011366138426
6.1442e-05,7.889299999999999e-05,Blanket_outboard_m2_1,5.0288646662800966e-08,0.00032316399933430916
7.889299999999999e-05,0.0001013,Blanket_outboard_m2_1,5.1366940554084094e-08,0.0003534729792333508
0.0001013,0.00013006999999999998,Blanket_outboard_m2_1,5.1438281322481425e-08,0.000356704995365599
0.00013006999999999998,0.00016702,Blanket_outboard_m2_1,5.0413604338778944e-08,0.0003613351175765404
0.00016702,0.00021444999999999998,Blanket_outboard_m2_1,5.664457009237505e-08,0.0003558540349954009
0.00021444999999999998,0.00027536,Blanket_outboard_m2_1,6.195512754757563e-08,0.0003165153752980702
0.00027536,0.00035358,Blanket_outboard_m2_1,4.13600281178654e-08,0.00031876760468419005
0.00035358,0.000454,Blanket_outboard_m2_1,4.439042680704566e-08,0.0003199273245867589
0.000454,0.00058295,Blanket_outboard_m2_1,5.550307478239484e-08,0.0003612309416110429
0.00058295,0.0007485199999999999,Blanket_outboard_m2_1,5.8114703887360096e-08,0.00032116414627165584
0.0007485199999999999,0.00096112,Blanket_outboard_m2_1,5.992539236717024e-08,0.00026336396773145
0.00096112,0.0012341,Blanket_outboard_m2_1,5.4224061172372944e-08,0.00036612882290595346
0.0012341,0.0015845999999999998,Blanket_outboard_m2_1,6.59842972956282e-08,0.00029659268691386426
0.0015845999999999998,0.0020347,Blanket_outboard_m2_1,7.337201370655023e-08,0.00035479782499372347
0.0020347,0.0022486999999999997,Blanket_outboard_m2_1,2.5524716719305842e-08,0.00036903741545165264
0.0022486999999999997,0.0024852,Blanket_outboard_m2_1,1.7381186252148214e-08,0.0004099130975002835
0.0024852,0.0026125999999999996,Blanket_outboard_m2_1,9.180452297208643e-09,0.0004754157596739448
0.0026125999999999996,0.0027465,Blanket_outboard_m2_1,1.1013080081838116e-08,0.00046972873978550893
0.0027465,0.0030354,Blanket_outboard_m2_1,2.5999761825766628e-08,0.0004155992295764079
0.0030354,0.0033545999999999997,Blanket_outboard_m2_1,2.8057886347765496e-08,0.00039541690374526796
0.0033545999999999997,0.0037074,Blanket_outboard_m2_1,2.79953088129365e-08,0.0003780556314091167
0.0037074,0.004307399999999999,Blanket_outboard_m2_1,3.5227276441439754e-08,0.00034379059229926347
0.004307399999999999,0.0055308,Blanket_outboard_m2_1,6.428472074077437e-08,0.0003040826520214858
0.0055308,0.0071017,Blanket_outboard_m2_1,6.408421104039884e-08,0.00025994961368445654
0.0071017,0.009118799999999998,Blanket_outboard_m2_1,4.338655818861839e-08,0.00030456791300413003
0.009118799999999998,0.010595,Blanket_outboard_m2_1,4.128623975295466e-08,0.0003235217033361743
0.010595,0.011708999999999999,Blanket_outboard_m2_1,3.185141991827302e-08,0.0003818248087322141
0.011708999999999999,0.015033999999999999,Blanket_outboard_m2_1,6.850630184222884e-08,0.00031907369777475905
0.015033999999999999,0.019303999999999998,Blanket_outboard_m2_1,5.428534194518703e-08,0.00036240306480745597
0.019303999999999998,0.021875,Blanket_outboard_m2_1,3.7354927326075576e-08,0.0004513497167941273
0.021875,0.023579,Blanket_outboard_m2_1,2.841276618202446e-08,0.00046663334148435863
0.023579,0.024176,Blanket_outboard_m2_1,1.1609922185305008e-08,0.0007546308715861008
0.024176,0.024787999999999998,Blanket_outboard_m2_1,1.5881137550382162e-08,0.0007063968337822442
0.024787999999999998,0.026057999999999998,Blanket_outboard_m2_1,3.709729749720054e-08,0.00042229829475283156
0.026057999999999998,0.027,Blanket_outboard_m2_1,1.4892667055769865e-08,0.0005331804715659398
0.027,0.028501,Blanket_outboard_m2_1,4.825489143417767e-09,0.00047910443965860943
0.028501,0.031827999999999995,Blanket_outboard_m2_1,1.773940436193183e-08,0.0004358164188121199
0.031827999999999995,0.034307,Blanket_outboard_m2_1,1.958850003602067e-08,0.00045586014073084136
0.034307,0.040868,Blanket_outboard_m2_1,5.20815064287852e-08,0.00039074413910758423
0.040868,0.046308999999999996,Blanket_outboard_m2_1,4.7654089928045934e-08,0.0003912589803943267
0.046308999999999996,0.052475,Blanket_outboard_m2_1,4.3659896542278555e-08,0.0004033358999434792
0.052475,0.056561999999999994,Blanket_outboard_m2_1,2.50379583650247e-08,0.00046069612560152253
0.056561999999999994,0.06738,Blanket_outboard_m2_1,6.936942379631945e-08,0.0003422768132697693
0.06738,0.07202399999999999,Blanket_outboard_m2_1,3.2256902043680666e-08,0.00047520120764002135
0.07202399999999999,0.079499,Blanket_outboard_m2_1,3.990911499112425e-08,0.00042087984920406447
0.079499,0.08250299999999999,Blanket_outboard_m2_1,3.062242020455656e-08,0.0005562838234465612
0.08250299999999999,0.086517,Blanket_outboard_m2_1,1.3571017313071274e-08,0.0004882495146914194
0.086517,0.098036,Blanket_outboard_m2_1,5.1085330864524234e-08,0.0003370709975852119
0.098036,0.11109,Blanket_outboard_m2_1,4.7403346608861545e-08,0.0004342551320299619
0.11109,0.11678999999999999,Blanket_outboard_m2_1,2.43779058253216e-08,0.0006530573729011602
0.11678999999999999,0.12276999999999999,Blanket_outboard_m2_1,2.8249839986115936e-08,0.0006464679862704495
0.12276999999999999,0.12907,Blanket_outboard_m2_1,3.3827560301275626e-08,0.0005338942864031006
0.12907,0.13569,Blanket_outboard_m2_1,3.84290464197398e-08,0.000537401997633902
0.13569,0.14264,Blanket_outboard_m2_1,3.0575170784561404e-08,0.0005360251213811957
0.14264,0.14995999999999998,Blanket_outboard_m2_1,1.6950786968911468e-08,0.0005322248594606267
0.14995999999999998,0.15764,Blanket_outboard_m2_1,2.7498517313328947e-08,0.00054601544785207
0.15764,0.16573,Blanket_outboard_m2_1,2.7904593030873815e-08,0.0005163411874272294
0.16573,0.17421999999999999,Blanket_outboard_m2_1,2.8222355955016916e-08,0.0004884389531233809
0.17421999999999999,0.18316,Blanket_outboard_m2_1,4.006889773279197e-08,0.0004574040561690377
0.18316,0.19255,Blanket_outboard_m2_1,2.7257031968423294e-08,0.0004903380732053414
0.19255,0.20242,Blanket_outboard_m2_1,2.4052775190657804e-08,0.00046173131895250536
