Time,Value,Error
0s,2.40722e-07,0.0028
2.7h,2.35027e-07,0.0028
24h,1.95742e-07,0.0028
11.6d,2.19692e-08,0.0028
30d,4.85971e-10,0.0028
10y,0.0,0.0
