User,Time,Value,Error
0.0,0s,0.0,0.0
0.0,2.7h,0.0,0.0
0.0,24h,0.0,0.0
0.0,11.6d,0.0,0.0
0.0,30d,0.0,0.0
0.0,10y,0.0,0.0
-11023.0,0s,1265.65,0.0
-11023.0,2.7h,1112.81,0.0
-11023.0,24h,416.303,0.0
-11023.0,11.6d,0.0271963,0.0075
-11023.0,30d,0.023619,0.0085
-11023.0,10y,0.00169154,0.0085
-12024.0,0s,89.369,0.0003
-12024.0,2.7h,78.5766,0.0003
-12024.0,24h,29.3944,0.0003
-12024.0,11.6d,0.000230047,0.0003
-12024.0,30d,2.90763e-13,0.0003
-12024.0,10y,0.0,0.0
-12025.0,0s,0.0470594,0.0119
-12025.0,2.7h,0.0413764,0.0119
-12025.0,24h,0.0154784,0.0119
-12025.0,11.6d,1.21137e-07,0.0119
-12025.0,30d,1.53109e-16,0.0119
-12025.0,10y,0.0,0.0
-13027.0,0s,136.017,0.0002
-13027.0,2.7h,119.591,0.0002
-13027.0,24h,44.7374,0.0002
-13027.0,11.6d,0.000350125,0.0002
-13027.0,30d,4.42533e-13,0.0002
-13027.0,10y,0.0,0.0
-19041.0,0s,15.9685,0.0002
-19041.0,2.7h,13.6647,0.0002
-19041.0,24h,4.1558,0.0002
-19041.0,11.6d,2.73499e-06,0.0002
-19041.0,30d,4.62374e-17,0.0002
-19041.0,10y,0.0,0.0
-20040.0,0s,2.14461e-05,0.0298
-20040.0,2.7h,2.1397e-05,0.0298
-20040.0,24h,2.10259e-05,0.0298
-20040.0,11.6d,1.70567e-05,0.0298
-20040.0,30d,1.18458e-05,0.0298
-20040.0,10y,1.00813e-36,0.0298
-20042.0,0s,1.07901,0.0019
-20042.0,2.7h,0.923345,0.0019
-20042.0,24h,0.280813,0.0019
-20042.0,11.6d,1.84807e-07,0.0019
-20042.0,30d,3.12433e-18,0.0019
-20042.0,10y,0.0,0.0
-20043.0,0s,0.203654,0.0026
-20043.0,2.7h,0.186736,0.0026
-20043.0,24h,0.0962623,0.0026
-20043.0,11.6d,3.48544e-05,0.0026
-20043.0,30d,3.51377e-11,0.0026
-20043.0,10y,0.0,0.0
-20044.0,0s,0.0015491,0.0379
-20044.0,2.7h,0.00142041,0.0379
-20044.0,24h,0.00073222,0.0379
-20044.0,11.6d,2.6512e-07,0.0379
-20044.0,30d,2.67275e-13,0.0379
-20044.0,10y,0.0,0.0
-20046.0,0s,0.739536,0.0006
-20046.0,2.7h,0.726576,0.0006
-20046.0,24h,0.634773,0.0006
-20046.0,11.6d,0.12622,0.0006
-20046.0,30d,0.00756375,0.0006
-20046.0,10y,0.0,0.0
-20048.0,0s,0.950669,0.0019
-20048.0,2.7h,0.934009,0.0019
-20048.0,24h,0.815997,0.0019
-20048.0,11.6d,0.162254,0.0019
-20048.0,30d,0.00972315,0.0019
-20048.0,10y,0.0,0.0
-21045.0,0s,8.02875,0.0002
-21045.0,2.7h,8.02107,0.0002
-21045.0,24h,7.9626,0.0002
-21045.0,11.6d,7.29565,0.0002
-21045.0,30d,6.26416,0.0002
-21045.0,10y,6.39416e-13,0.0002
-22046.0,0s,0.288554,0.0026
-22046.0,2.7h,0.288244,0.0026
-22046.0,24h,0.286105,0.0026
-22046.0,11.6d,0.262141,0.0026
-22046.0,30d,0.225078,0.0026
-22046.0,10y,2.29749e-14,0.0026
-22047.0,0s,0.00575181,0.0129
-22047.0,2.7h,0.00564793,0.0131
-22047.0,24h,0.00493027,0.0143
-22047.0,11.6d,0.00168369,0.0346
-22047.0,30d,0.00111476,0.0448
-22047.0,10y,1.12896e-16,0.0451
-22048.0,0s,0.510371,0.0024
-22048.0,2.7h,0.488359,0.0024
-22048.0,24h,0.348704,0.0024
-22048.0,11.6d,0.00621514,0.0024
-22048.0,30d,5.68957e-06,0.0035
-22048.0,10y,0.0,0.0
-22049.0,0s,2.06251e-05,0.3702
-22049.0,2.7h,1.97355e-05,0.3702
-22049.0,24h,1.40915e-05,0.3702
-22049.0,11.6d,2.50952e-07,0.3702
-22049.0,30d,2.24503e-10,0.3702
-22049.0,10y,0.0,0.0
-23051.0,0s,0.0031121,0.0318
-23051.0,2.7h,0.00297787,0.0318
-23051.0,24h,0.00212625,0.0318
-23051.0,11.6d,3.7866e-05,0.0318
-23051.0,30d,3.38751e-08,0.0318
-23051.0,10y,0.0,0.0
-24050.0,0s,0.0154708,0.0024
-24050.0,2.7h,0.0154261,0.0024
-24050.0,24h,0.0150885,0.0024
-24050.0,11.6d,0.0115809,0.0024
-24050.0,30d,0.00730319,0.0024
-24050.0,10y,3.72763e-42,0.0024
-24052.0,0s,2.19503e-05,0.2363
-24052.0,2.7h,2.18868e-05,0.2363
-24052.0,24h,2.14079e-05,0.2363
-24052.0,11.6d,1.64312e-05,0.2363
-24052.0,30d,1.03619e-05,0.2363
-24052.0,10y,5.28884e-45,0.2363
-25055.0,0s,127.536,0.0001
-25055.0,2.7h,60.5228,0.0001
-25055.0,24h,0.228552,0.0009
-25055.0,11.6d,0.0248076,0.0085
-25055.0,30d,0.0238131,0.0085
-25055.0,10y,7.76096e-06,0.0085
-26054.0,0s,1.90203,0.0007
-26054.0,2.7h,1.90153,0.0007
-26054.0,24h,1.89774,0.0007
-26054.0,11.6d,1.85302,0.0007
-26054.0,30d,1.77792,0.0007
-26054.0,10y,0.000579449,0.0007
-26056.0,0s,15.1486,0.0006
-26056.0,2.7h,7.18727,0.0006
-26056.0,24h,0.0241546,0.0007
-26056.0,11.6d,1.87664e-05,0.3272
-26056.0,30d,1.80208e-05,0.3271
-26056.0,10y,2.55219e-08,0.269
-26057.0,0s,0.00177955,0.0669
-26057.0,2.7h,0.000844308,0.0669
-26057.0,24h,2.83526e-06,0.0669
-26057.0,11.6d,7.40141e-36,0.0669
-26057.0,30d,2.08338e-87,0.0669
-26057.0,10y,0.0,0.0
-26058.0,0s,2.78204,0.0003
-26058.0,2.7h,2.77703,0.0003
-26058.0,24h,2.73904,0.0003
-26058.0,11.6d,2.32306,0.0003
-26058.0,30d,1.74342,0.0003
-26058.0,10y,6.00932e-25,0.0003
-27059.0,0s,7.60762,0.0001
-27059.0,2.7h,7.60681,0.0001
-27059.0,24h,7.60391,0.0001
-27059.0,11.6d,7.57477,0.0001
-27059.0,30d,7.52431,0.0001
-27059.0,10y,2.04649,0.0001
-29063.0,0s,0.29672,0.0008
-29063.0,2.7h,0.255189,0.0008
-29063.0,24h,0.0811536,0.0009
-29063.0,11.6d,0.0014717,0.0286
-29063.0,30d,0.00146189,0.0286
-29063.0,10y,0.000397693,0.0286
-29065.0,0s,0.000491582,0.0688
-29065.0,2.7h,0.000422432,0.0688
-29065.0,24h,0.000132662,0.0688
-29065.0,11.6d,1.28142e-10,0.0688
-29065.0,30d,4.22781e-21,0.0688
-29065.0,10y,0.0,0.0
-30064.0,0s,0.367632,0.0007
-30064.0,2.7h,0.367511,0.0007
-30064.0,24h,0.366589,0.0007
-30064.0,11.6d,0.355748,0.0007
-30064.0,30d,0.337616,0.0007
-30064.0,10y,1.1751e-05,0.0007
-30066.0,0s,0.00201091,0.0357
-30066.0,2.7h,0.00201025,0.0357
-30066.0,24h,0.00200521,0.0357
-30066.0,11.6d,0.00194591,0.0357
-30066.0,30d,0.00184673,0.0357
-30066.0,10y,6.42768e-08,0.0357
-31071.0,0s,15.7695,0.0003
-31071.0,2.7h,13.7561,0.0003
-31071.0,24h,4.84456,0.0003
-31071.0,11.6d,1.84228e-05,0.0003
-31071.0,30d,6.62027e-15,0.0003
-31071.0,10y,0.0,0.0
-39089.0,0s,0.0139384,0.0167
-39089.0,2.7h,0.0139279,0.0167
-39089.0,24h,0.0138481,0.0167
-39089.0,11.6d,0.0129282,0.0167
-39089.0,30d,0.0114688,0.0167
-39089.0,10y,7.09862e-13,0.0167
-40090.0,0s,0.00112342,0.0499
-40090.0,2.7h,0.00109616,0.0499
-40090.0,24h,0.000908623,0.0499
-40090.0,11.6d,9.63637e-05,0.0499
-40090.0,30d,1.93127e-06,0.0499
-40090.0,10y,0.0,0.0
-51123.0,0s,0.934636,0.0005
-51123.0,2.7h,0.933391,0.0005
-51123.0,24h,0.923933,0.0005
-51123.0,11.6d,0.817995,0.0005
-51123.0,30d,0.661588,0.0005
-51123.0,10y,5.43043e-19,0.0005
-55133.0,0s,5.40284,0.0002
-55133.0,2.7h,5.40227,0.0002
-55133.0,24h,5.39788,0.0002
-55133.0,11.6d,5.34566,0.0002
-55133.0,30d,5.25588,0.0002
-55133.0,10y,0.189252,0.0002
-57139.0,0s,6.94529,0.0002
-57139.0,2.7h,6.62118,0.0002
-57139.0,24h,4.59587,0.0002
-57139.0,11.6d,0.058371,0.0002
-57139.0,30d,2.89742e-05,0.0002
-57139.0,10y,0.0,0.0
-58140.0,0s,0.000167437,0.1585
-58140.0,2.7h,0.000159623,0.1585
-58140.0,24h,0.000110797,0.1585
-58140.0,11.6d,1.4072e-06,0.1585
-58140.0,30d,6.98509e-10,0.1585
-58140.0,10y,0.0,0.0
-90232.0,0s,0.36848,0.0005
-90232.0,2.7h,0.367387,0.0005
-90232.0,24h,0.359141,0.0005
-90232.0,11.6d,0.273769,0.0005
-90232.0,30d,0.170597,0.0005
-90232.0,10y,8.36205e-42,0.0005
