Time,Value,Error
0s,1.03392e-05,0.0002
2.7h,1.03388e-05,0.0002
24h,1.03355e-05,0.0002
11.6d,1.02962e-05,0.0002
30d,1.02282e-05,0.0002
10y,2.78247e-06,0.0002
