Time,Value,Error
0s,1.7728840535999998e-11,0.002247657519075921
2.7h,1.772810941e-11,0.002247657521272711
24h,1.7722460907e-11,0.0022476575121898185
11.6d,1.7655119188e-11,0.0022476575230663447
30d,1.7538382794e-11,0.0022476575177739766
10y,4.771149821e-12,0.002247657526069803
