User,Time,Value,Error
0.0,0s,0.0,0.0
0.0,2.7h,0.0,0.0
0.0,24h,0.0,0.0
0.0,11.6d,0.0,0.0
0.0,30d,0.0,0.0
0.0,10y,0.0,0.0
-12024.0,0s,17.3791,0.0002
-12024.0,2.7h,15.2803,0.0002
-12024.0,24h,5.71616,0.0002
-12024.0,11.6d,4.47359e-05,0.0002
-12024.0,30d,5.6543e-14,0.0002
-12024.0,10y,0.0,0.0
-12025.0,0s,0.00850552,0.0101
-12025.0,2.7h,0.00747838,0.0101
-12025.0,24h,0.00279756,0.0101
-12025.0,11.6d,2.18943e-08,0.0101
-12025.0,30d,2.76729e-17,0.0101
-12025.0,10y,0.0,0.0
-13027.0,0s,17.5827,0.0002
-13027.0,2.7h,15.4594,0.0002
-13027.0,24h,5.78315,0.0002
-13027.0,11.6d,4.52602e-05,0.0002
-13027.0,30d,5.72057e-14,0.0002
-13027.0,10y,0.0,0.0
-20040.0,0s,2.50831e-07,0.0895
-20040.0,2.7h,2.50257e-07,0.0895
-20040.0,24h,2.45917e-07,0.0895
-20040.0,11.6d,1.99493e-07,0.0895
-20040.0,30d,1.38547e-07,0.0895
-20040.0,10y,1.17909e-38,0.0895
-20042.0,0s,0.00781888,0.0073
-20042.0,2.7h,0.00669085,0.0073
-20042.0,24h,0.00203486,0.0073
-20042.0,11.6d,1.33917e-09,0.0073
-20042.0,30d,2.26399e-20,0.0073
-20042.0,10y,0.0,0.0
-20043.0,0s,0.00125793,0.0104
-20043.0,2.7h,0.00115342,0.0104
-20043.0,24h,0.000594591,0.0104
-20043.0,11.6d,2.15288e-07,0.0104
-20043.0,30d,2.17038e-13,0.0104
-20043.0,10y,0.0,0.0
-20044.0,0s,6.51791e-06,0.1713
-20044.0,2.7h,5.97643e-06,0.1713
-20044.0,24h,3.08085e-06,0.1713
-20044.0,11.6d,1.11551e-09,0.1713
-20044.0,30d,1.12457e-15,0.1713
-20044.0,10y,0.0,0.0
-20046.0,0s,1.40613e-05,0.004
-20046.0,2.7h,1.38149e-05,0.004
-20046.0,24h,1.20694e-05,0.004
-20046.0,11.6d,2.39989e-06,0.004
-20046.0,30d,1.43814e-07,0.004
-20046.0,10y,0.0,0.0
-20048.0,0s,0.00652775,0.008
-20048.0,2.7h,0.00641335,0.008
-20048.0,24h,0.00560302,0.008
-20048.0,11.6d,0.00111412,0.008
-20048.0,30d,6.67638e-05,0.008
-20048.0,10y,0.0,0.0
-26054.0,0s,0.545192,0.0004
-26054.0,2.7h,0.54505,0.0004
-26054.0,24h,0.543963,0.0004
-26054.0,11.6d,0.531157,0.0004
-26054.0,30d,0.509643,0.0004
-26054.0,10y,0.000165964,0.0004
-26056.0,0s,4.91052,0.0004
-26056.0,2.7h,2.32979,0.0004
-26056.0,24h,0.00782721,0.0004
-26056.0,11.6d,3.49597e-06,0.2173
-26056.0,30d,3.36628e-06,0.2166
-26056.0,10y,3.16555e-08,0.1015
-26057.0,0s,0.000524589,0.0414
-26057.0,2.7h,0.000248891,0.0414
-26057.0,24h,8.35798e-07,0.0414
-26057.0,11.6d,2.18184e-36,0.0414
-26057.0,30d,6.14152e-88,0.0414
-26057.0,10y,0.0,0.0
-26058.0,0s,0.00314857,0.0014
-26058.0,2.7h,0.0031429,0.0014
-26058.0,24h,0.00309991,0.0014
-26058.0,11.6d,0.00262912,0.0014
-26058.0,30d,0.00197311,0.0014
-26058.0,10y,6.80105e-28,0.0014
-9019.0,0s,0.00108553,0.0183
-9019.0,2.7h,0.000378732,0.0183
-9019.0,24h,1.2147e-07,0.0183
-9019.0,11.6d,2.01574e-49,0.0183
-9019.0,30d,0.0,0.0
-9019.0,10y,0.0,0.0
