Time,Value,Error
0s,1.45993e-06,0.0002
2.7h,1.33865e-06,0.0002
24h,6.90074e-07,0.0002
11.6d,2.4986e-10,0.0002
30d,2.51891e-16,0.0002
10y,0.0,0.0
