Cor A,Value,Error
830.0,1.0188e-09,0.000408443
833.26,0.0,0.0
836.52,0.0,0.0
839.78,0.0,0.0
843.04,0.0,0.0
846.29,0.0,0.0
849.55,0.0,0.0
852.81,6.37586e-08,0.000482136
856.07,1.93951e-08,0.000556335
859.33,1.20212e-08,0.000616666
862.59,6.85201e-09,0.000644707
865.85,5.1594e-09,0.000645279
869.11,4.29637e-09,0.000670821
872.37,3.59309e-09,0.000706235
875.63,3.01131e-09,0.000748047
878.88,2.52978e-09,0.000791986
882.14,2.13392e-09,0.000843417
885.4,1.80941e-09,0.000892391
888.66,1.54357e-09,0.000945462
891.92,1.32932e-09,0.00100405
895.18,1.29099e-09,0.00100285
898.44,1.20616e-09,0.000980783
901.7,1.05628e-09,0.00098586
904.96,9.29945e-10,0.000997034
908.22,8.21899e-10,0.00101176
911.47,7.29952e-10,0.00103121
914.73,6.50919e-10,0.00105254
917.99,5.84825e-10,0.00107869
921.25,4.35148e-10,0.00110481
924.51,3.73281e-10,0.00112431
927.77,3.47032e-10,0.00113952
931.03,3.23703e-10,0.00116015
934.29,3.02232e-10,0.00117928
937.55,2.82947e-10,0.00120139
940.81,2.65493e-10,0.00122096
944.06,2.50144e-10,0.00124396
947.32,6.20328e-10,0.00118559
950.58,1.25904e-09,0.0011545
953.84,1.37453e-09,0.0012021
957.1,9.87257e-10,0.00125777
960.36,9.26228e-10,0.00118238
963.62,7.07334e-10,0.00116777
966.88,4.73414e-10,0.00116729
970.14,3.03417e-10,0.00117657
973.39,1.78956e-10,0.00119353
976.65,1.14268e-10,0.00121433
979.91,7.9422e-11,0.00123884
983.17,5.5752e-11,0.00126698
986.43,3.94788e-11,0.00129756
989.69,2.98618e-11,0.00132957
992.95,2.98973e-11,0.00136967
996.21,1.75724e-11,0.00142593
999.47,1.05374e-11,0.00149168
1002.73,5.66033e-12,0.00156041
1005.98,3.41554e-12,0.00162431
1009.24,2.35361e-12,0.00168782
1012.5,1.63829e-12,0.00175332
1015.76,1.38591e-12,0.00182874
1019.02,8.64917e-13,0.00191753
1022.28,5.45617e-13,0.00201585
1025.54,9.04247e-14,0.00206848
1028.8,1.91608e-13,0.0021203
1032.06,1.9085e-13,0.00214726
1035.32,1.18128e-13,0.00216791
1038.57,3.56222e-14,0.00217125
1041.83,7.62237e-14,0.00220056
1045.09,4.36862e-14,0.00222178
1048.35,2.75632e-14,0.00223022
1051.61,1.1818e-14,0.00222255
1054.87,3.17596e-14,0.0022297
1058.13,2.01357e-14,0.00223905
1061.39,1.26425e-14,0.00227828
1064.65,7.52639e-15,0.00234339
1067.91,4.52886e-15,0.00242846
1071.16,2.74603e-15,0.00252794
1074.42,1.66848e-15,0.00263005
1077.68,9.3448e-16,0.00269097
1080.94,7.68253e-16,0.00268473
1084.2,3.452e-16,0.00266871
