Cells,Value,Error
291.97,8.37441e-09,0.0098
296.44,1.03234e-08,0.0093
300.91,1.45906e-08,0.009
305.38,2.19585e-08,0.0086
309.85,3.3972e-08,0.0084
314.32,5.26537e-08,0.008
318.79,8.1252e-08,0.0078
323.26,1.24397e-07,0.0074
327.73,1.88007e-07,0.0073
332.2,2.82779e-07,0.007
336.67,4.22111e-07,0.0069
341.14,6.15155e-07,0.0067
345.61,8.8708e-07,0.0066
350.08,1.26711e-06,0.0064
354.55,1.76677e-06,0.0064
359.02,2.44186e-06,0.0062
363.49,3.31087e-06,0.0061
367.96,4.53531e-06,0.0057
372.43,6.34071e-06,0.0054
376.9,9.20272e-06,0.0048
377.0,2.24379e-05,0.0052
395.5,2.678e-05,0.0042
400.5,4.36421e-05,0.0037
406.6,0.000137667,0.0034
412.7,0.000315539,0.003
418.8,0.000715674,0.0028
424.9,0.00151991,0.0025
431.0,0.00256742,0.0024
436.0,0.00311634,0.0022
447.9,0.00994473,0.0017
451.0,0.0480829,0.0018
455.2,0.0306682,0.0015
458.2,0.112645,0.0015
465.2,0.0744518,0.0012
468.2,0.380707,0.0012
473.7,0.220498,0.0009
476.7,1.0387,0.001
481.7,0.573455,0.0008
484.7,2.70619,0.0008
487.0,1.24891,0.0007
489.0,4.75232,0.0007
490.0,1.8359,0.0007
493.6,7.17051,0.0006
493.7,2.22941,0.001
494.2,2.27879,0.0007
495.0,5.43172,0.0006
1132.1,7.49425,0.0003
1132.6,2.79521,0.0005
1132.7,2.78357,0.0006
1136.3,10.4607,0.0003
1137.3,2.36028,0.0004
1139.3,7.03473,0.0003
1141.6,1.66904,0.0004
1144.6,4.04177,0.0003
1149.6,0.799545,0.0004
1152.6,1.55571,0.0004
1158.1,0.316707,0.0004
1161.1,0.564841,0.0006
1168.1,0.107618,0.0006
1171.1,0.16447,0.0007
1175.3,0.0441965,0.0007
1178.4,0.0689451,0.0009
1185.3,0.0140611,0.0008
1227.8,0.00423558,0.0011
1232.49,0.00366297,0.0012
1237.18,0.00256652,0.0013
1241.87,0.0014976,0.0014
1246.56,0.000805092,0.0015
1251.25,0.000421663,0.0016
1255.94,0.000220785,0.0018
1260.63,0.000116275,0.0021
1265.32,6.1983e-05,0.0023
1270.01,3.33651e-05,0.0026
1274.7,1.77322e-05,0.003
1279.7,6.39451e-06,0.0034
1284.7,3.93982e-06,0.0038
1300.1,3.25617e-06,0.0048
1304.57,1.33071e-06,0.0045
1309.04,9.14698e-07,0.005
1313.51,6.50337e-07,0.0054
1317.98,4.74116e-07,0.0056
1322.45,3.44499e-07,0.0059
1326.92,2.4809e-07,0.006
1331.39,1.76458e-07,0.0062
1335.86,1.22928e-07,0.0062
1340.33,8.45159e-08,0.0065
1344.8,5.74992e-08,0.0065
1349.27,3.86149e-08,0.0068
1353.74,2.55642e-08,0.0069
1358.21,1.67416e-08,0.0073
1362.68,1.08695e-08,0.0075
1367.15,6.93686e-09,0.0078
1371.62,4.38642e-09,0.0081
1376.09,2.74447e-09,0.0086
1380.56,1.64059e-09,0.0089
1385.03,9.28585e-10,0.0095
1389.5,4.31115e-10,0.0102
