Cells,Energy,Value,Error
291.97,1.00001e-07,30567.3,0.014
291.97,4.13994e-07,85900.5,0.0116
291.97,5.31579e-07,23178.1,0.0139
291.97,6.8256e-07,25987.8,0.0136
291.97,8.76425e-07,28669.8,0.0132
291.97,1.12535e-06,31229.5,0.0129
291.97,1.44498e-06,33662.0,0.0127
291.97,1.85539e-06,36605.3,0.0124
291.97,2.38237e-06,38526.2,0.0123
291.97,3.05902e-06,40486.8,0.0122
291.97,3.92786e-06,41615.6,0.0122
291.97,5.04348e-06,43416.8,0.0121
291.97,6.47595e-06,44933.8,0.012
291.97,8.31529e-06,46086.4,0.0119
291.97,1.0677e-05,46612.6,0.0119
291.97,1.37096e-05,47261.1,0.0119
291.97,1.76035e-05,48359.7,0.0119
291.97,2.26033e-05,48138.3,0.012
291.97,2.90232e-05,48094.3,0.0121
291.97,3.72665e-05,46941.4,0.0122
291.97,4.78512e-05,44337.5,0.0121
291.97,6.14421e-05,51070.3,0.0119
291.97,7.88932e-05,51087.5,0.012
291.97,0.000101301,50668.3,0.012
291.97,0.000130073,49698.0,0.012
291.97,0.000167017,49754.9,0.0122
291.97,0.000214454,51579.5,0.012
291.97,0.000275364,55599.1,0.0118
291.97,0.000353575,38371.5,0.0121
291.97,0.000453999,42979.1,0.0124
291.97,0.000582947,49224.2,0.0124
291.97,0.000748518,54362.8,0.0121
291.97,0.000961117,57728.4,0.0121
291.97,0.0012341,53769.3,0.0122
291.97,0.00158461,64605.6,0.012
291.97,0.00203468,67007.7,0.0118
291.97,0.00224867,14255.4,0.0133
291.97,0.00248517,17241.6,0.0133
291.97,0.00261259,6606.64,0.0151
291.97,0.00274654,8168.93,0.0151
291.97,0.00303539,23107.3,0.0134
291.97,0.00335463,25068.8,0.0132
291.97,0.00370744,25619.5,0.0131
291.97,0.00430742,31665.5,0.0127
291.97,0.00553084,53124.2,0.0122
291.97,0.00710174,54022.9,0.0122
291.97,0.00911882,40419.0,0.0124
291.97,0.0105946,32678.6,0.0131
291.97,0.0117088,23971.4,0.0136
291.97,0.0150344,57293.2,0.0124
291.97,0.0193045,50556.7,0.0127
291.97,0.0218749,34472.0,0.0136
291.97,0.0235786,25579.1,0.0146
291.97,0.0241755,10528.9,0.0182
291.97,0.0247875,13409.3,0.0172
291.97,0.0260584,17096.1,0.015
291.97,0.0270001,8774.08,0.0166
291.97,0.0285011,4104.69,0.0162
291.97,0.0318278,14743.9,0.0148
291.97,0.0343067,15608.8,0.0154
291.97,0.0408677,40994.6,0.0136
291.97,0.0463092,35294.0,0.014
291.97,0.0524752,36240.7,0.014
291.97,0.0565622,17321.2,0.0155
291.97,0.0673795,49756.1,0.0136
291.97,0.0720245,23650.8,0.0154
291.97,0.0794987,26667.8,0.015
291.97,0.0825034,13468.8,0.0175
291.97,0.086517,8504.77,0.0177
291.97,0.0980365,33572.7,0.0144
291.97,0.11109,32823.2,0.0147
291.97,0.116786,16492.9,0.0172
291.97,0.122773,19392.6,0.0166
291.97,0.129068,19064.6,0.017
291.97,0.135686,21382.8,0.0164
291.97,0.142642,12488.4,0.0174
291.97,0.149956,10767.9,0.018
291.97,0.157644,14990.4,0.0174
291.97,0.165727,15131.4,0.0175
291.97,0.174224,14175.8,0.0179
291.97,0.183156,17731.2,0.0173
291.97,0.192547,12457.8,0.0185
291.97,0.202419,11628.1,0.0184
291.97,0.212797,13723.7,0.0181
291.97,0.223708,14473.7,0.0183
291.97,0.235177,14818.3,0.0184
291.97,0.247235,14423.5,0.0186
291.97,0.273237,33394.5,0.0163
291.97,0.287246,12841.6,0.0194
291.97,0.294518,6876.93,0.0233
