Cells,Value,Error
291.97,1263500.0,0.0093
296.44,1559270.0,0.0089
300.91,2201060.0,0.0087
305.38,3298650.0,0.0083
309.85,5087350.0,0.008
314.32,7893930.0,0.0077
318.79,12134300.0,0.0075
323.26,18572400.0,0.0072
327.73,28162700.0,0.007
332.2,42217900.0,0.0068
336.67,62764100.0,0.0067
341.14,91390300.0,0.0065
345.61,132131000.0,0.0064
350.08,188930000.0,0.0063
354.55,264434000.0,0.0062
359.02,367561000.0,0.006
363.49,506021000.0,0.0058
367.96,708768000.0,0.0055
372.43,1015820000.0,0.0051
376.9,1457020000.0,0.0045
377.0,1568710000.0,0.0051
395.5,1731200000.0,0.004
400.5,6857570000.0,0.0035
406.6,21169500000.0,0.0032
412.7,48255300000.0,0.0029
418.8,106895000000.0,0.0026
424.9,218656000000.0,0.0024
431.0,350888000000.0,0.0023
436.0,487057000000.0,0.002
447.9,1677840000000.0,0.0016
451.0,3639570000000.0,0.0016
455.2,4986940000000.0,0.0014
458.2,7512330000000.0,0.0014
465.2,12478000000000.0,0.0011
468.2,24321700000000.0,0.0011
473.7,36747100000000.0,0.0009
476.7,63250900000000.0,0.0009
481.7,94203800000000.0,0.0007
484.7,159811000000000.0,0.0007
487.0,192735000000000.0,0.0006
489.0,247558000000000.0,0.0006
490.0,268071000000000.0,0.0006
493.6,308709000000000.0,0.0007
493.7,309935000000000.0,0.0007
494.2,310525000000000.0,0.0006
495.0,321094000000000.0,0.0006
1132.1,364067000000000.0,0.0005
1132.6,363039000000000.0,0.0004
1132.7,368921000000000.0,0.0005
1136.3,371839000000000.0,0.0004
1137.3,334844000000000.0,0.0003
1139.3,314686000000000.0,0.0004
1141.6,253451000000000.0,0.0003
1144.6,214554000000000.0,0.0004
1149.6,130285000000000.0,0.0003
1152.6,89517100000000.0,0.0004
1158.1,52565600000000.0,0.0004
1161.1,35017000000000.0,0.0005
1168.1,17991100000000.0,0.0005
1171.1,10847200000000.0,0.0007
1175.3,7176620000000.0,0.0007
1178.4,5190970000000.0,0.0008
1185.3,2372930000000.0,0.0008
1227.8,662507000000.0,0.001
1232.49,496922000000.0,0.0011
1237.18,363753000000.0,0.0012
1241.87,219766000000.0,0.0013
1246.56,121232000000.0,0.0014
1251.25,64624000000.0,0.0015
1255.94,34194300000.0,0.0017
1260.63,18139800000.0,0.0019
1265.32,9705460000.0,0.0021
1270.01,5221800000.0,0.0024
1274.7,2760400000.0,0.0027
1279.7,1015500000.0,0.003
1284.7,259617000.0,0.0037
1300.1,229946000.0,0.0051
1304.57,212292000.0,0.0042
1309.04,147576000.0,0.0046
1313.51,101733000.0,0.0051
1317.98,72655900.0,0.0053
1322.45,52030000.0,0.0056
1326.92,37204500.0,0.0057
1331.39,26285600.0,0.0059
1335.86,18329700.0,0.006
1340.33,12610700.0,0.0062
1344.8,8584400.0,0.0063
1349.27,5752510.0,0.0065
1353.74,3802320.0,0.0067
1358.21,2492200.0,0.0069
1362.68,1620800.0,0.0071
1367.15,1038630.0,0.0075
1371.62,655187.0,0.0077
1376.09,411537.0,0.0081
1380.56,247334.0,0.0084
1385.03,140509.0,0.0089
1389.5,65495.4,0.0095
