Cells,Value,Error
291.97,8.1678e-09,0.0098
296.44,1.00586e-08,0.0093
300.91,1.41992e-08,0.0091
305.38,2.13381e-08,0.0086
309.85,3.29553e-08,0.0084
314.32,5.09786e-08,0.008
318.79,7.84984e-08,0.0078
323.26,1.19883e-07,0.0074
327.73,1.80606e-07,0.0073
332.2,2.70684e-07,0.0071
336.67,4.02527e-07,0.007
341.14,5.83462e-07,0.0067
345.61,8.36194e-07,0.0066
350.08,1.18572e-06,0.0065
354.55,1.63714e-06,0.0064
359.02,2.23658e-06,0.0062
363.49,2.98633e-06,0.0061
367.96,4.02444e-06,0.0057
372.43,5.54172e-06,0.0054
376.9,7.95249e-06,0.0048
377.0,8.32416e-06,0.0052
395.5,1.86418e-05,0.0042
400.5,4.11045e-05,0.0037
406.6,0.000123487,0.0033
412.7,0.000285614,0.003
418.8,0.000647597,0.0027
424.9,0.00135707,0.0025
431.0,0.00214169,0.0024
436.0,0.00284389,0.0022
447.9,0.00954038,0.0017
451.0,0.0184264,0.0018
455.2,0.0294966,0.0015
458.2,0.0378223,0.0016
465.2,0.0707911,0.0012
468.2,0.120893,0.0013
473.7,0.208313,0.0009
476.7,0.311272,0.001
481.7,0.536567,0.0008
484.7,0.805349,0.0008
487.0,1.15791,0.0007
489.0,1.328,0.0008
490.0,1.67804,0.0007
493.6,1.63727,0.0009
493.7,1.93931,0.0011
494.2,1.99638,0.0008
495.0,1.3065,0.0009
1132.1,1.52311,0.0007
1132.6,2.36101,0.0006
1132.7,2.33619,0.0007
1136.3,2.01283,0.0006
1137.3,2.10982,0.0004
1139.3,1.70171,0.0005
1141.6,1.52391,0.0004
1144.6,1.08558,0.0004
1149.6,0.741586,0.0004
1152.6,0.441876,0.0005
1158.1,0.298057,0.0005
1161.1,0.174296,0.0006
1168.1,0.102174,0.0006
1171.1,0.0546795,0.0008
1175.3,0.0424963,0.0007
1178.4,0.0262509,0.0009
1185.3,0.0134891,0.0008
1227.8,0.00386869,0.0011
1232.49,0.0030245,0.0012
1237.18,0.00226982,0.0013
1241.87,0.00135122,0.0014
1246.56,0.000730225,0.0015
1251.25,0.000382291,0.0016
1255.94,0.000199742,0.0018
1260.63,0.000104918,0.0021
1265.32,5.57779e-05,0.0023
1270.01,2.99339e-05,0.0026
1274.7,1.57365e-05,0.003
1279.7,6.00035e-06,0.0034
1284.7,2.76521e-06,0.0041
1300.1,1.21103e-06,0.0059
1304.57,1.14791e-06,0.0046
1309.04,7.97996e-07,0.005
1313.51,5.76262e-07,0.0055
1317.98,4.27195e-07,0.0057
1322.45,3.14961e-07,0.006
1326.92,2.29543e-07,0.006
1331.39,1.64928e-07,0.0062
1335.86,1.15783e-07,0.0063
1340.33,8.01012e-08,0.0065
1344.8,5.47956e-08,0.0066
1349.27,3.69679e-08,0.0068
1353.74,2.45609e-08,0.007
1358.21,1.61321e-08,0.0073
1362.68,1.05023e-08,0.0075
1367.15,6.71661e-09,0.0079
1371.62,4.25452e-09,0.0081
1376.09,2.66611e-09,0.0086
1380.56,1.59508e-09,0.0089
1385.03,9.03083e-10,0.0096
1389.5,4.18986e-10,0.0103
