Cells,Value,Error,Components
Input 1,5.1105,0.2037,PF1
Input 2,15.3841,0.1355,PF2
Input 3,8.35762,0.1917,PF3
Input 4,7.80295,0.1781,PF4
Input 5,7.02659,0.2246,PF5
Input 6,5.09363,0.2227,PF6
Input 7,1.43106,0.4025,PF3-4 SUPP
