Cells,Value,Error,Components
Input 1,1216.43,0.0163,IB STR
Input 2,189.096,0.0427,IB TOP
Input 3,290.379,0.0335,OB TOP
Input 4,95.7525,0.0577,OB EQ
Input 5,130.129,0.0467,OB BOT
Input 6,100.144,0.0557,IB BOT
Input 7,14.9555,0.1465,G SUPP
