Cells,Value,Error,Components
4,330244.0,0.0012,BM01_C03
5,661091.0,0.0008,BM01_C02
6,330672.0,0.0012,BM01_C01
7,438736.0,0.0011,BM02_C03
8,876863.0,0.0007,BM02_C02
9,439156.0,0.0011,BM02_C01
10,503720.0,0.001,BM03_C03
11,1008230.0,0.0007,BM03_C02
12,503700.0,0.001,BM03_C01
13,502225.0,0.001,BM04_C03
14,1005110.0,0.0007,BM04_C02
15,501875.0,0.001,BM04_C01
16,418983.0,0.0011,BM05_C03
17,836990.0,0.0007,BM05_C02
18,418520.0,0.0011,BM05_C01
19,335993.0,0.0012,BM06_C03
20,671047.0,0.0008,BM06_C02
21,335975.0,0.0012,BM06_C01
22,1054960.0,0.0007,7-8-9_-20deg
23,2113790.0,0.0005,7-8-9_cen
24,1057260.0,0.0007,7-8-9_+20deg
25,966881.0,0.0007,BM10_1
26,967580.0,0.0007,BM10_2
27,449712.0,0.001,BM11_C01
28,979564.0,0.0007,BM11_S02
29,905045.0,0.0007,BM11_C02
30,982542.0,0.0007,BM11_S01
31,451268.0,0.001,BM11_C01_2
32,443927.0,0.001,BM12_C03
33,893160.0,0.0007,BM12_S02
34,884813.0,0.0007,BM12_C02
35,893743.0,0.0007,BM12_S01
36,443066.0,0.001,BM12_C01
37,604172.0,0.0009,BM13_C03
38,1033510.0,0.0007,BM13_S02
39,1225180.0,0.0006,BM13_C02
40,1024830.0,0.0007,BM13_S01
41,602368.0,0.0009,BM13_C01
42,1232230.0,0.0006,BM14_S02
43,1241380.0,0.0006,BM14_S01
44,1255740.0,0.0006,BM15_S02
45,1251170.0,0.0006,BM15_S01
46,686634.0,0.0009,BM16_C03
47,1221540.0,0.0006,BM16_S02
48,1360160.0,0.0006,BM16_C02
49,1212400.0,0.0006,BM16_S01
50,684994.0,0.0009,BM16_C01
51,566212.0,0.0009,BM17_C03
52,1133410.0,0.0007,BM17_S02
53,1131200.0,0.0007,BM17_C02
54,1134830.0,0.0007,BM17_S01
55,565322.0,0.0009,BM17_C01
56,524274.0,0.001,BM18_C03
57,1009100.0,0.0007,BM18_S02
58,1037400.0,0.0007,BM18_C02
59,1035860.0,0.0007,BM18_S01
60,522026.0,0.001,BM18_C01
