Segments,User,Value,Error,BLK n.
2,0.0,28915200000000.0,0.0021,1
2,1.0,6936980000000.0,0.0049,1
3,0.0,38772100000000.0,0.0016,2
3,1.0,7461750000000.0,0.0028,2
4,0.0,46370900000000.0,0.0017,3
4,1.0,8047650000000.0,0.0027,3
5,0.0,46175900000000.0,0.0018,4
5,1.0,7938300000000.0,0.0024,4
6,0.0,38340500000000.0,0.0016,5
6,1.0,7237040000000.0,0.0029,5
7,0.0,28268000000000.0,0.0021,6
7,1.0,6458820000000.0,0.0032,6
2,0.0,22144500000000.0,0.0021,7
2,1.0,6053830000000.0,0.0045,7
2,0.0,21261800000000.0,0.0009,8
2,1.0,6401170000000.0,0.003,8
2,0.0,22896100000000.0,0.0006,9
2,1.0,6804610000000.0,0.0029,9
2,0.0,27345600000000.0,0.0005,10
2,1.0,7281770000000.0,0.0026,10
2,0.0,33031900000000.0,0.0004,11
2,1.0,8558710000000.0,0.0024,11
2,0.0,37283700000000.0,0.0004,12
2,1.0,9448510000000.0,0.0029,12
2,0.0,40246200000000.0,0.0004,13
2,1.0,9934490000000.0,0.0031,13
2,0.0,43126900000000.0,0.0003,14
2,1.0,9467350000000.0,0.0022,14
2,0.0,43800600000000.0,0.0003,15
2,1.0,9632570000000.0,0.0025,15
2,0.0,41906700000000.0,0.0003,16
2,1.0,10145900000000.0,0.0029,16
2,0.0,38095200000000.0,0.0003,17
2,1.0,9448990000000.0,0.0022,17
2,0.0,32037200000000.0,0.0004,18
2,1.0,8458740000000.0,0.0032,18
