Cells,Value,Error,Cells n.
61,512824.0,0.0009,61
62,1031400.0,0.0006,62
63,1018190.0,0.0006,63
64,1015820.0,0.0006,64
65,1018310.0,0.0006,65
66,1018460.0,0.0006,66
67,507298.0,0.0009,67
