Cells,Value,Error,Components
75,159044.0,0.0015,PS1
157,9785.76,0.0054,PS2 FJ Y+
158,9028.0,0.0057,PS2 FJ Y-
159,281019.0,0.0012,PS2 Y+
160,277104.0,0.0012,PS2 Y-
161,338170.0,0.0011,PS3 EQ Y+
162,335713.0,0.0011,PS3 EQ Y-
163,8161.04,0.0058,PS4 FJ Y+
164,8039.96,0.006,PS4 FJ Y-
166,47830.3,0.0028,PS4 LOW Y+/-
167,78794.6,0.0021,PS4 UP Y+
168,75191.7,0.0022,PS4 UP Y-
68,202871.0,0.0013,TRIANG SUPPORT
116,2.5607,0.2458,HOOK
134,2.19149,0.361,G SUPPORT
135,4.45844,0.2221,GUSSETS
125,21.6138,0.1013,SHIELD EVEN
126,7.86034,0.1593,SHIELD Y+
127,8.35044,0.1571,SHIELD Y-
Input 20,1244.1,0.0156,UP Port ext and duct
Input 21,134.541,0.0447,EQ Port ext and duct
