Value,Error,Energy,Angle
3.131223546949137e-05,0.010428023307935784,0.01 - 0.1,66.8 deg
6.497458106343893e-05,0.00877074132826607,0.1 - 1,66.8 deg
4.30189058914844e-05,0.011150195047879834,1 - 3.5,66.8 deg
2.8807141691939456e-05,0.02035872408870596,3.5 - 10,66.8 deg
2.1552956437082524e-05,0.0172670504479241,10 - 20,66.8 deg
