Value,Error,Energy,Angle
7.3859731342411344e-06,0.0239425011842347,0.1 - 1,12.2 deg
2.197928935485251e-05,0.01871455551970828,1 - 3.5,12.2 deg
3.614860914423809e-05,0.020409740189413564,3.5 - 10,12.2 deg
0.00010437453969327178,0.010347906202102753,10 - 20,12.2 deg
