Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,2.754513602688559e-07,0.003601252473435062,0.01,0.1,0 deg
0.1 - 1,3.4898510046163918e-06,0.0009300849459191366,0.1,1.0,0 deg
1 - 3.5,2.539823478196757e-06,0.0016031033462593288,1.0,3.5,0 deg
3.5 - 10,6.105094234950154e-07,0.006254182464841529,3.5,10.0,0 deg
10 - 20,2.813890234516103e-05,0.0012736253615145906,10.0,20.0,0 deg
