Energy,Value,Error,Angle
3.06805,9.169520609693123e-07,0.0222,66.8 deg
3.22535,9.583435920605702e-07,0.0209,66.8 deg
3.39075,9.75017541398146e-07,0.0198,66.8 deg
3.5646,9.856720084464307e-07,0.021,66.8 deg
3.74735,9.886197768882012e-07,0.0211,66.8 deg
3.93945,1.0675726235749404e-06,0.0203,66.8 deg
4.14145,1.1364757980832645e-06,0.0189,66.8 deg
4.3538,1.1868853882074133e-06,0.019,66.8 deg
4.577,1.1508831952094452e-06,0.0191,66.8 deg
4.81165,1.1667023601013814e-06,0.0203,66.8 deg
5.05835,1.1898332767898085e-06,0.0217,66.8 deg
5.3177,1.1955351867409569e-06,0.0207,66.8 deg
5.59035,1.195193666593203e-06,0.0204,66.8 deg
5.877,1.2905090639605048e-06,0.0191,66.8 deg
6.1783,1.3468662172793366e-06,0.0197,66.8 deg
6.49505,1.4446810292527923e-06,0.0204,66.8 deg
6.8281,1.4823530912674851e-06,0.0198,66.8 deg
7.1782,1.5141532303932319e-06,0.0197,66.8 deg
7.5462,1.5696002042931942e-06,0.0216,66.8 deg
7.9331,1.5982498469895693e-06,0.0197,66.8 deg
8.33985,1.5817532678180388e-06,0.0207,66.8 deg
8.76745,1.7367252704580775e-06,0.021,66.8 deg
9.21695,1.8661399236775375e-06,0.0211,66.8 deg
9.6895,2.112737265914636e-06,0.0212,66.8 deg
10.1863,2.414078707964995e-06,0.0205,66.8 deg
10.7085,2.5739017431084754e-06,0.0207,66.8 deg
11.2575,2.611889534348907e-06,0.0198,66.8 deg
11.835,2.321541700226722e-06,0.0184,66.8 deg
12.442,2.339403171846252e-06,0.0148,66.8 deg
13.0795,3.1224012943945337e-06,0.0123,66.8 deg
13.75,3.6455318747985287e-06,0.0121,66.8 deg
14.455,2.1515732428904586e-06,0.017,66.8 deg
15.196,3.3404638370617445e-07,0.0455,66.8 deg
15.9755,3.5835153720954656e-08,0.1257,66.8 deg
16.7945,2.1546288620663604e-09,0.5144,66.8 deg
17.6555,4.483367841285283e-10,0.6175,66.8 deg
18.561,1.5066443032799703e-10,1.0,66.8 deg
19.5125,0.0,0.0,66.8 deg
20.464,0.0,0.0,66.8 deg
