Energy,Value,Error,Angle
7.5462,4.859240242567671e-08,0.1464,24.9 deg
7.9331,5.063044858228685e-08,0.1294,24.9 deg
8.33985,4.767011215824344e-08,0.1216,24.9 deg
8.76745,5.7912108687963876e-08,0.132,24.9 deg
9.21695,5.791730807159065e-08,0.1161,24.9 deg
9.6895,6.292950570934691e-08,0.1234,24.9 deg
10.1863,8.717030898007678e-08,0.173,24.9 deg
10.7085,5.358568194540963e-08,0.117,24.9 deg
11.2575,7.573231568600517e-08,0.1866,24.9 deg
11.835,8.108874763119814e-08,0.1787,24.9 deg
12.442,7.859650104641487e-08,0.1537,24.9 deg
13.0795,5.4777558655174976e-08,0.2757,24.9 deg
13.75,2.1640357278845193e-07,0.093,24.9 deg
14.455,1.577019069648626e-06,0.0411,24.9 deg
15.196,1.7794577008004594e-06,0.0375,24.9 deg
15.9755,5.207213939461009e-07,0.0769,24.9 deg
16.7945,5.713933888449189e-08,0.2915,24.9 deg
17.6555,6.476891401424571e-09,0.5342,24.9 deg
18.561,6.540324462170239e-09,0.7576,24.9 deg
19.5125,5.138112155435386e-11,0.8652,24.9 deg
20.464,1.967377566001053e-12,0.82,24.9 deg
