Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.5343255459915094e-07,0.005416337770014386,0.01,0.1,0 deg
0.1 - 1,3.634699766564345e-06,0.0010927389647354202,0.1,1.0,0 deg
1 - 3.5,6.5915853259279455e-06,0.0013859370493583384,1.0,3.5,0 deg
3.5 - 10,1.1126248654340218e-06,0.0063121038602027,3.5,10.0,0 deg
10 - 20,6.912022679122269e-05,0.001378940067255582,10.0,20.0,0 deg
