Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.8271528304430308e-07,0.0037614181284424297,0.01,0.1,66.8 deg
0.1 - 1,1.9858573365704595e-06,0.0011806776600983696,0.1,1.0,66.8 deg
1 - 3.5,9.885507722880768e-07,0.002607160871028367,1.0,3.5,66.8 deg
3.5 - 10,1.7078004532016874e-07,0.011627307043749563,3.5,10.0,66.8 deg
10 - 20,1.450274144645479e-07,0.017573417659689297,10.0,20.0,66.8 deg
