Energy,Value,Error,Angle
4.577,2.4777009174266165e-06,0.0131,0 deg
4.81165,2.4716029497296077e-06,0.0132,0 deg
5.05835,2.455786123462324e-06,0.0135,0 deg
5.3177,2.4858333578508558e-06,0.0137,0 deg
5.59035,2.4015311063060497e-06,0.0141,0 deg
5.877,2.5331704635096015e-06,0.0139,0 deg
6.1783,2.655933958827491e-06,0.0134,0 deg
6.49505,2.810737648620596e-06,0.0132,0 deg
6.8281,2.9703374952805927e-06,0.0127,0 deg
7.1782,3.220257996300646e-06,0.0129,0 deg
7.5462,3.436171313869383e-06,0.0132,0 deg
7.9331,3.6815380753909853e-06,0.0136,0 deg
8.33985,3.759218442058084e-06,0.013,0 deg
8.76745,3.891820101885809e-06,0.0143,0 deg
9.21695,3.85768041167921e-06,0.014,0 deg
9.6895,3.941846844077833e-06,0.0142,0 deg
10.1863,4.3870849603315935e-06,0.014,0 deg
10.7085,5.204230101210026e-06,0.0133,0 deg
11.2575,7.259591210613251e-06,0.0116,0 deg
11.835,1.0749306368922758e-05,0.0103,0 deg
12.442,1.661836166465463e-05,0.0083,0 deg
13.0795,3.2042332201787504e-05,0.005,0 deg
13.75,8.551087584205062e-05,0.0022,0 deg
14.455,0.0003349156085350382,0.001,0 deg
15.196,0.0006159762826996573,0.0006,0 deg
15.9755,0.0003792134970354931,0.0007,0 deg
16.7945,4.553541404124704e-05,0.0021,0 deg
17.6555,3.5647924760788287e-06,0.0084,0 deg
18.561,5.80296943875232e-07,0.0213,0 deg
19.5125,1.1676249257034087e-07,0.0462,0 deg
20.464,1.7641030063252098e-08,0.0789,0 deg
