Energy,Value,Error,Lower energy,Upper energy,Angle
0.01 - 0.1,1.5597838711488988e-07,0.005379213165518922,0.01,0.1,12.2 deg
0.1 - 1,3.498226851423827e-06,0.0011457669771898825,0.1,1.0,12.2 deg
1 - 3.5,6.122351947561067e-06,0.0015059773034733542,1.0,3.5,12.2 deg
3.5 - 10,8.412779454631436e-07,0.007797736011955562,3.5,10.0,12.2 deg
10 - 20,1.567393804620752e-05,0.003755226813637608,10.0,20.0,12.2 deg
