Value,Error,Energy,Angle
1.7899207003653985e-06,0.06036056982332055,0.01 - 0.1,12.2 deg
1.7104350578925517e-05,0.022317966968976387,0.1 - 1,12.2 deg
2.7483718011796718e-05,0.014872142549942983,1 - 3.5,12.2 deg
2.812768280022951e-05,0.017078860243044287,3.5 - 10,12.2 deg
0.0003268769755326436,0.005679984797785937,10 - 20,12.2 deg
