Cells,Segments,Value,Error,Radius
129,1.0,3.16205,0.0042,Bare
Input 3,,1.58169,0.0026,15 mm
Input 4,,1.75565,0.0018,30 mm
Input 5,,1.81182,0.0015,50 mm
Input 6,,1.3528,0.0013,90 mm
