Value,Error,Radius,Cells
3135.15,0.0033,Bare,
2070.05,0.0018,15 mm,Input 3
2857.69,0.0011,30 mm,Input 4
3459.05,0.0007,50 mm,Input 5
2974.19,0.0005,90 mm,Input 6
