Value,Error,Radius,Cells
1814.96,0.0042,Bare,
20105.2,0.0015,15 mm,Input 3
31249.5,0.0004,30 mm,Input 4
39797.1,0.0003,50 mm,Input 5
22679.7,0.0002,90 mm,Input 6
