Value,Error,Radius,Cells
670.466,0.0057,Bare,
5963.81,0.0025,15 mm,Input 3
6891.42,0.0007,30 mm,Input 4
7694.65,0.0005,50 mm,Input 5
3261.04,0.0004,90 mm,Input 6
