Value,Error,Radius,Cells
232.533,0.0117,Bare,
1373.68,0.0079,15 mm,Input 3
159.44,0.0047,30 mm,Input 4
175.633,0.0033,50 mm,Input 5
140.654,0.0022,90 mm,Input 6
